Region,Population,Year,Age
Nelson city,2910,2023,20-24 Years
Marlborough district,2240,2023,20-24 Years
Kaikoura district,180,2023,20-24 Years
Buller district,310,2023,20-24 Years
Grey district,730,2023,20-24 Years
Westland district,390,2023,20-24 Years
Hurunui district,500,2023,20-24 Years
Waimakariri district,3230,2023,20-24 Years
Christchurch city,29730,2023,20-24 Years
Selwyn district,4220,2023,20-24 Years
Ashburton district,1930,2023,20-24 Years
Timaru district,2220,2023,20-24 Years
Mackenzie district,350,2023,20-24 Years
Waimate district,330,2023,20-24 Years
Chatham Islands territory,40,2023,20-24 Years
Waitaki district,1130,2023,20-24 Years
Central Otago district,960,2023,20-24 Years
Queenstown-Lakes district,2950,2023,20-24 Years
Dunedin city,14040,2023,20-24 Years
Clutha district,940,2023,20-24 Years
Southland district,1560,2023,20-24 Years
Gore district,630,2023,20-24 Years
Invercargill city,3360,2023,20-24 Years
Area outside territorial authority,0,2023,20-24 Years
"Total, New Zealand by territorial authority/SA2",284860,1996,25-29 Years
Far North district,3230,1996,25-29 Years
Whangarei district,4420,1996,25-29 Years
Kaipara district,1070,1996,25-29 Years
Auckland,93970,1996,25-29 Years
Rodney local board area,2270,1996,25-29 Years
Hibiscus and Bays local board area,3950,1996,25-29 Years
Upper Harbour local board area,2090,1996,25-29 Years
Kaipatiki local board area,6740,1996,25-29 Years
Devonport-Takapuna local board area,3730,1996,25-29 Years
Henderson-Massey local board area,7040,1996,25-29 Years
Waitakere Ranges local board area,3240,1996,25-29 Years
Aotea/Great Barrier local board area,60,1996,25-29 Years
Waiheke local board area,370,1996,25-29 Years
Waitemata local board area,6080,1996,25-29 Years
Whau local board area,5220,1996,25-29 Years
Albert-Eden local board area,9200,1996,25-29 Years
Puketapapa local board area,3640,1996,25-29 Years
Orakei local board area,5590,1996,25-29 Years
Maungakiekie-Tamaki local board area,6090,1996,25-29 Years
Howick local board area,5120,1996,25-29 Years
Mangere-Otahuhu local board area,5580,1996,25-29 Years
Otara-Papatoetoe local board area,6010,1996,25-29 Years
Manurewa local board area,5480,1996,25-29 Years
Papakura local board area,3180,1996,25-29 Years
Franklin local board area,3270,1996,25-29 Years
Thames-Coromandel district,1390,1996,25-29 Years
Hauraki district,1150,1996,25-29 Years
Waikato district,3510,1996,25-29 Years
Matamata-Piako district,2140,1996,25-29 Years
Hamilton city,9690,1996,25-29 Years
Waipa district,2470,1996,25-29 Years
Otorohanga district,700,1996,25-29 Years
South Waikato district,1920,1996,25-29 Years
Waitomo district,640,1996,25-29 Years
Taupo district,2440,1996,25-29 Years
Western Bay of Plenty district,1910,1996,25-29 Years
Tauranga city,5290,1996,25-29 Years
Rotorua district,4970,1996,25-29 Years
Whakatane district,2240,1996,25-29 Years
Kawerau district,570,1996,25-29 Years
Opotiki district,590,1996,25-29 Years
Gisborne district,3140,1996,25-29 Years
Wairoa district,640,1996,25-29 Years
Hastings district,4570,1996,25-29 Years
Napier city,3830,1996,25-29 Years
Central Hawke's Bay district,810,1996,25-29 Years
New Plymouth district,4620,1996,25-29 Years
Stratford district,680,1996,25-29 Years
South Taranaki district,2120,1996,25-29 Years
Ruapehu district,1380,1996,25-29 Years
Whanganui district,2930,1996,25-29 Years
Rangitikei district,1130,1996,25-29 Years
Manawatu district,1870,1996,25-29 Years
Palmerston North city,6480,1996,25-29 Years
Tararua district,1120,1996,25-29 Years
Horowhenua district,1870,1996,25-29 Years
Kapiti Coast district,1990,1996,25-29 Years
Porirua city,3690,1996,25-29 Years
Upper Hutt city,2710,1996,25-29 Years
Lower Hutt city,7840,1996,25-29 Years
Wellington city,17490,1996,25-29 Years
Masterton district,1360,1996,25-29 Years
Carterton district,380,1996,25-29 Years
South Wairarapa district,530,1996,25-29 Years
Tasman district,2520,1996,25-29 Years
Nelson city,3060,1996,25-29 Years
Marlborough district,2610,1996,25-29 Years
Kaikoura district,240,1996,25-29 Years
Buller district,670,1996,25-29 Years
Grey district,970,1996,25-29 Years
Westland district,600,1996,25-29 Years
Hurunui district,540,1996,25-29 Years
Waimakariri district,2150,1996,25-29 Years
Christchurch city,26810,1996,25-29 Years
Selwyn district,1750,1996,25-29 Years
Ashburton district,1580,1996,25-29 Years
Timaru district,2670,1996,25-29 Years
Mackenzie district,330,1996,25-29 Years
Waimate district,370,1996,25-29 Years
Chatham Islands territory,70,1996,25-29 Years
Waitaki district,1190,1996,25-29 Years
Central Otago district,890,1996,25-29 Years
Queenstown-Lakes district,1650,1996,25-29 Years
Dunedin city,8760,1996,25-29 Years
Clutha district,1180,1996,25-29 Years
Southland district,1980,1996,25-29 Years
Gore district,850,1996,25-29 Years
Invercargill city,3940,1996,25-29 Years
Area outside territorial authority,30,1996,25-29 Years
"Total, New Zealand by territorial authority/SA2",257240,2001,25-29 Years
Far North district,2760,2001,25-29 Years
Whangarei district,3720,2001,25-29 Years
Kaipara district,870,2001,25-29 Years
Auckland,89940,2001,25-29 Years
Rodney local board area,2040,2001,25-29 Years
Hibiscus and Bays local board area,3700,2001,25-29 Years
Upper Harbour local board area,2360,2001,25-29 Years
Kaipatiki local board area,6000,2001,25-29 Years
Devonport-Takapuna local board area,3270,2001,25-29 Years
Henderson-Massey local board area,6980,2001,25-29 Years
Waitakere Ranges local board area,2830,2001,25-29 Years
Aotea/Great Barrier local board area,45,2001,25-29 Years
Waiheke local board area,330,2001,25-29 Years
Waitemata local board area,7450,2001,25-29 Years
Whau local board area,4760,2001,25-29 Years
Albert-Eden local board area,8380,2001,25-29 Years
Puketapapa local board area,3420,2001,25-29 Years
Orakei local board area,5160,2001,25-29 Years
Maungakiekie-Tamaki local board area,6150,2001,25-29 Years
Howick local board area,5630,2001,25-29 Years
Mangere-Otahuhu local board area,4990,2001,25-29 Years
Otara-Papatoetoe local board area,5430,2001,25-29 Years
Manurewa local board area,5300,2001,25-29 Years
Papakura local board area,2850,2001,25-29 Years
Franklin local board area,2840,2001,25-29 Years
Thames-Coromandel district,1100,2001,25-29 Years
Hauraki district,830,2001,25-29 Years
Waikato district,2940,2001,25-29 Years
Matamata-Piako district,1640,2001,25-29 Years
Hamilton city,9540,2001,25-29 Years
Waipa district,2270,2001,25-29 Years
Otorohanga district,620,2001,25-29 Years
South Waikato district,1480,2001,25-29 Years
Waitomo district,550,2001,25-29 Years
Taupo district,1990,2001,25-29 Years
Western Bay of Plenty district,1630,2001,25-29 Years
Tauranga city,5450,2001,25-29 Years
Rotorua district,4380,2001,25-29 Years
Whakatane district,2030,2001,25-29 Years
Kawerau district,450,2001,25-29 Years
Opotiki district,440,2001,25-29 Years
Gisborne district,2740,2001,25-29 Years
Wairoa district,500,2001,25-29 Years
Hastings district,4030,2001,25-29 Years
Napier city,3370,2001,25-29 Years
Central Hawke's Bay district,710,2001,25-29 Years
New Plymouth district,3800,2001,25-29 Years
Stratford district,510,2001,25-29 Years
South Taranaki district,1710,2001,25-29 Years
Ruapehu district,930,2001,25-29 Years
Whanganui district,2400,2001,25-29 Years
Rangitikei district,840,2001,25-29 Years
Manawatu district,1420,2001,25-29 Years
Palmerston North city,5990,2001,25-29 Years
Tararua district,950,2001,25-29 Years
Horowhenua district,1470,2001,25-29 Years
Kapiti Coast district,1760,2001,25-29 Years
Porirua city,3440,2001,25-29 Years
Upper Hutt city,2320,2001,25-29 Years
Lower Hutt city,6720,2001,25-29 Years
Wellington city,16550,2001,25-29 Years
Masterton district,1130,2001,25-29 Years
Carterton district,360,2001,25-29 Years
South Wairarapa district,410,2001,25-29 Years
Tasman district,2360,2001,25-29 Years
Nelson city,2770,2001,25-29 Years
Marlborough district,2170,2001,25-29 Years
Kaikoura district,210,2001,25-29 Years
Buller district,460,2001,25-29 Years
Grey district,760,2001,25-29 Years
Westland district,450,2001,25-29 Years
Hurunui district,410,2001,25-29 Years
Waimakariri district,1880,2001,25-29 Years
Christchurch city,24090,2001,25-29 Years
Selwyn district,1600,2001,25-29 Years
Ashburton district,1410,2001,25-29 Years
Timaru district,2230,2001,25-29 Years
Mackenzie district,250,2001,25-29 Years
Waimate district,320,2001,25-29 Years
Chatham Islands territory,60,2001,25-29 Years
Waitaki district,940,2001,25-29 Years
Central Otago district,640,2001,25-29 Years
Queenstown-Lakes district,1650,2001,25-29 Years
Dunedin city,7400,2001,25-29 Years
Clutha district,1010,2001,25-29 Years
Southland district,1640,2001,25-29 Years
Gore district,740,2001,25-29 Years
Invercargill city,3120,2001,25-29 Years
Area outside territorial authority,10,2001,25-29 Years
"Total, New Zealand by territorial authority/SA2",260370,2006,25-29 Years
Far North district,2360,2006,25-29 Years
Whangarei district,3430,2006,25-29 Years
Kaipara district,770,2006,25-29 Years
Auckland,98440,2006,25-29 Years
Rodney local board area,2000,2006,25-29 Years
Hibiscus and Bays local board area,3560,2006,25-29 Years
Upper Harbour local board area,2800,2006,25-29 Years
Kaipatiki local board area,6570,2006,25-29 Years
Devonport-Takapuna local board area,3590,2006,25-29 Years
Henderson-Massey local board area,7400,2006,25-29 Years
Waitakere Ranges local board area,2720,2006,25-29 Years
Aotea/Great Barrier local board area,30,2006,25-29 Years
Waiheke local board area,350,2006,25-29 Years
Waitemata local board area,9810,2006,25-29 Years
Whau local board area,5670,2006,25-29 Years
Albert-Eden local board area,9300,2006,25-29 Years
Puketapapa local board area,3950,2006,25-29 Years
Orakei local board area,4930,2006,25-29 Years
Maungakiekie-Tamaki local board area,6440,2006,25-29 Years
Howick local board area,6960,2006,25-29 Years
Mangere-Otahuhu local board area,5200,2006,25-29 Years
Otara-Papatoetoe local board area,5800,2006,25-29 Years
Manurewa local board area,5840,2006,25-29 Years
Papakura local board area,2860,2006,25-29 Years
Franklin local board area,2680,2006,25-29 Years
Thames-Coromandel district,1000,2006,25-29 Years
Hauraki district,730,2006,25-29 Years
Waikato district,2950,2006,25-29 Years
Matamata-Piako district,1480,2006,25-29 Years
Hamilton city,10710,2006,25-29 Years
Waipa district,2040,2006,25-29 Years
Otorohanga district,540,2006,25-29 Years
South Waikato district,1170,2006,25-29 Years
Waitomo district,540,2006,25-29 Years
Taupo district,1850,2006,25-29 Years
Western Bay of Plenty district,1590,2006,25-29 Years
Tauranga city,5820,2006,25-29 Years
Rotorua district,4000,2006,25-29 Years
Whakatane district,1700,2006,25-29 Years
Kawerau district,390,2006,25-29 Years
Opotiki district,410,2006,25-29 Years
Gisborne district,2410,2006,25-29 Years
Wairoa district,430,2006,25-29 Years
Hastings district,3720,2006,25-29 Years
Napier city,3050,2006,25-29 Years
Central Hawke's Bay district,610,2006,25-29 Years
New Plymouth district,3780,2006,25-29 Years
Stratford district,450,2006,25-29 Years
South Taranaki district,1540,2006,25-29 Years
Ruapehu district,770,2006,25-29 Years
Whanganui district,1990,2006,25-29 Years
Rangitikei district,730,2006,25-29 Years
Manawatu district,1230,2006,25-29 Years
Palmerston North city,6010,2006,25-29 Years
Tararua district,800,2006,25-29 Years
Horowhenua district,1210,2006,25-29 Years
Kapiti Coast district,1540,2006,25-29 Years
Porirua city,2990,2006,25-29 Years
Upper Hutt city,2050,2006,25-29 Years
Lower Hutt city,6200,2006,25-29 Years
Wellington city,17590,2006,25-29 Years
Masterton district,1070,2006,25-29 Years
Carterton district,290,2006,25-29 Years
South Wairarapa district,340,2006,25-29 Years
Tasman district,1940,2006,25-29 Years
Nelson city,2420,2006,25-29 Years
Marlborough district,2240,2006,25-29 Years
Kaikoura district,200,2006,25-29 Years
Buller district,420,2006,25-29 Years
Grey district,680,2006,25-29 Years
Westland district,510,2006,25-29 Years
Hurunui district,460,2006,25-29 Years
Waimakariri district,1670,2006,25-29 Years
Christchurch city,24210,2006,25-29 Years
Selwyn district,1590,2006,25-29 Years
Ashburton district,1430,2006,25-29 Years
Timaru district,1890,2006,25-29 Years
Mackenzie district,190,2006,25-29 Years
Waimate district,270,2006,25-29 Years
Chatham Islands territory,30,2006,25-29 Years
Waitaki district,770,2006,25-29 Years
Central Otago district,730,2006,25-29 Years
Queenstown-Lakes district,2750,2006,25-29 Years
Dunedin city,7170,2006,25-29 Years
Clutha district,820,2006,25-29 Years
Southland district,1580,2006,25-29 Years
Gore district,560,2006,25-29 Years
Invercargill city,3100,2006,25-29 Years
Area outside territorial authority,15,2006,25-29 Years
"Total, New Zealand by territorial authority/SA2",277490,2013,25-29 Years
Far North district,2540,2013,25-29 Years
Whangarei district,4220,2013,25-29 Years
Kaipara district,800,2013,25-29 Years
Auckland,108550,2013,25-29 Years
Rodney local board area,2420,2013,25-29 Years
Hibiscus and Bays local board area,4190,2013,25-29 Years
Upper Harbour local board area,4090,2013,25-29 Years
Kaipatiki local board area,6800,2013,25-29 Years
Devonport-Takapuna local board area,3600,2013,25-29 Years
Henderson-Massey local board area,8170,2013,25-29 Years
Waitakere Ranges local board area,2670,2013,25-29 Years
Aotea/Great Barrier local board area,30,2013,25-29 Years
Waiheke local board area,330,2013,25-29 Years
Waitemata local board area,12510,2013,25-29 Years
Whau local board area,5930,2013,25-29 Years
Albert-Eden local board area,8660,2013,25-29 Years
Puketapapa local board area,4720,2013,25-29 Years
Orakei local board area,5070,2013,25-29 Years
Maungakiekie-Tamaki local board area,6250,2013,25-29 Years
Howick local board area,8560,2013,25-29 Years
Mangere-Otahuhu local board area,5290,2013,25-29 Years
Otara-Papatoetoe local board area,6420,2013,25-29 Years
Manurewa local board area,6340,2013,25-29 Years
Papakura local board area,3420,2013,25-29 Years
Franklin local board area,3100,2013,25-29 Years
Thames-Coromandel district,970,2013,25-29 Years
Hauraki district,780,2013,25-29 Years
Waikato district,3300,2013,25-29 Years
Matamata-Piako district,1730,2013,25-29 Years
Hamilton city,11870,2013,25-29 Years
Waipa district,2380,2013,25-29 Years
Otorohanga district,560,2013,25-29 Years
South Waikato district,1170,2013,25-29 Years
Waitomo district,500,2013,25-29 Years
Taupo district,1860,2013,25-29 Years
Western Bay of Plenty district,1740,2013,25-29 Years
Tauranga city,6420,2013,25-29 Years
Rotorua district,3980,2013,25-29 Years
Whakatane district,1590,2013,25-29 Years
Kawerau district,350,2013,25-29 Years
Opotiki district,410,2013,25-29 Years
Gisborne district,2540,2013,25-29 Years
Wairoa district,370,2013,25-29 Years
Hastings district,3860,2013,25-29 Years
Napier city,2890,2013,25-29 Years
Central Hawke's Bay district,550,2013,25-29 Years
New Plymouth district,4220,2013,25-29 Years
Stratford district,520,2013,25-29 Years
South Taranaki district,1640,2013,25-29 Years
Ruapehu district,730,2013,25-29 Years
Whanganui district,2090,2013,25-29 Years
Rangitikei district,730,2013,25-29 Years
Manawatu district,1450,2013,25-29 Years
Palmerston North city,6040,2013,25-29 Years
Tararua district,820,2013,25-29 Years
Horowhenua district,1270,2013,25-29 Years
Kapiti Coast district,1700,2013,25-29 Years
Porirua city,2950,2013,25-29 Years
Upper Hutt city,2180,2013,25-29 Years
Lower Hutt city,6200,2013,25-29 Years
Wellington city,17150,2013,25-29 Years
Masterton district,1120,2013,25-29 Years
Carterton district,290,2013,25-29 Years
South Wairarapa district,350,2013,25-29 Years
Tasman district,1850,2013,25-29 Years
Nelson city,2590,2013,25-29 Years
Marlborough district,2200,2013,25-29 Years
Kaikoura district,180,2013,25-29 Years
Buller district,520,2013,25-29 Years
Grey district,680,2013,25-29 Years
Westland district,470,2013,25-29 Years
Hurunui district,560,2013,25-29 Years
Waimakariri district,1980,2013,25-29 Years
Christchurch city,24520,2013,25-29 Years
Selwyn district,2160,2013,25-29 Years
Ashburton district,1960,2013,25-29 Years
Timaru district,2120,2013,25-29 Years
Mackenzie district,230,2013,25-29 Years
Waimate district,290,2013,25-29 Years
Chatham Islands territory,30,2013,25-29 Years
Waitaki district,930,2013,25-29 Years
Central Otago district,760,2013,25-29 Years
Queenstown-Lakes district,2660,2013,25-29 Years
Dunedin city,6970,2013,25-29 Years
Clutha district,810,2013,25-29 Years
Southland district,1750,2013,25-29 Years
Gore district,560,2013,25-29 Years
Invercargill city,3300,2013,25-29 Years
Area outside territorial authority,0,2013,25-29 Years
"Total, New Zealand by territorial authority/SA2",371190,2018,25-29 Years
Far North district,3670,2018,25-29 Years
Whangarei district,5610,2018,25-29 Years
Kaipara district,1220,2018,25-29 Years
Auckland,144620,2018,25-29 Years
Rodney local board area,3760,2018,25-29 Years
Hibiscus and Bays local board area,5990,2018,25-29 Years
Upper Harbour local board area,5470,2018,25-29 Years
Kaipatiki local board area,8790,2018,25-29 Years
Devonport-Takapuna local board area,4150,2018,25-29 Years
Henderson-Massey local board area,10810,2018,25-29 Years
Waitakere Ranges local board area,3640,2018,25-29 Years
Aotea/Great Barrier local board area,45,2018,25-29 Years
Waiheke local board area,570,2018,25-29 Years
Waitemata local board area,15260,2018,25-29 Years
Whau local board area,7930,2018,25-29 Years
Albert-Eden local board area,10920,2018,25-29 Years
Puketapapa local board area,6540,2018,25-29 Years
Orakei local board area,6030,2018,25-29 Years
Maungakiekie-Tamaki local board area,8430,2018,25-29 Years
Howick local board area,10570,2018,25-29 Years
Mangere-Otahuhu local board area,6950,2018,25-29 Years
Otara-Papatoetoe local board area,9430,2018,25-29 Years
Manurewa local board area,9340,2018,25-29 Years
Papakura local board area,5680,2018,25-29 Years
Franklin local board area,4330,2018,25-29 Years
Thames-Coromandel district,1260,2018,25-29 Years
Hauraki district,1070,2018,25-29 Years
Waikato district,4670,2018,25-29 Years
Matamata-Piako district,2360,2018,25-29 Years
Hamilton city,15270,2018,25-29 Years
Waipa district,3140,2018,25-29 Years
Otorohanga district,750,2018,25-29 Years
South Waikato district,1640,2018,25-29 Years
Waitomo district,620,2018,25-29 Years
Taupo district,2350,2018,25-29 Years
Western Bay of Plenty district,3020,2018,25-29 Years
Tauranga city,9340,2018,25-29 Years
Rotorua district,5370,2018,25-29 Years
Whakatane district,2200,2018,25-29 Years
Kawerau district,440,2018,25-29 Years
Opotiki district,640,2018,25-29 Years
Gisborne district,3180,2018,25-29 Years
Wairoa district,520,2018,25-29 Years
Hastings district,5520,2018,25-29 Years
Napier city,3960,2018,25-29 Years
Central Hawke's Bay district,710,2018,25-29 Years
New Plymouth district,5150,2018,25-29 Years
Stratford district,640,2018,25-29 Years
South Taranaki district,1740,2018,25-29 Years
Ruapehu district,890,2018,25-29 Years
Whanganui district,2700,2018,25-29 Years
Rangitikei district,970,2018,25-29 Years
Manawatu district,1800,2018,25-29 Years
Palmerston North city,7170,2018,25-29 Years
Tararua district,1040,2018,25-29 Years
Horowhenua district,1890,2018,25-29 Years
Kapiti Coast district,2470,2018,25-29 Years
Porirua city,4040,2018,25-29 Years
Upper Hutt city,3030,2018,25-29 Years
Lower Hutt city,8100,2018,25-29 Years
Wellington city,21170,2018,25-29 Years
Masterton district,1600,2018,25-29 Years
Carterton district,400,2018,25-29 Years
South Wairarapa district,500,2018,25-29 Years
Tasman district,2540,2018,25-29 Years
Nelson city,3240,2018,25-29 Years
Marlborough district,2800,2018,25-29 Years
Kaikoura district,250,2018,25-29 Years
Buller district,490,2018,25-29 Years
Grey district,830,2018,25-29 Years
Westland district,660,2018,25-29 Years
Hurunui district,760,2018,25-29 Years
Waimakariri district,3180,2018,25-29 Years
Christchurch city,33070,2018,25-29 Years
Selwyn district,3780,2018,25-29 Years
Ashburton district,2460,2018,25-29 Years
Timaru district,2920,2018,25-29 Years
Mackenzie district,470,2018,25-29 Years
Waimate district,460,2018,25-29 Years
Chatham Islands territory,60,2018,25-29 Years
Waitaki district,1260,2018,25-29 Years
Central Otago district,1310,2018,25-29 Years
Queenstown-Lakes district,5860,2018,25-29 Years
Dunedin city,8680,2018,25-29 Years
Clutha district,1010,2018,25-29 Years
Southland district,2070,2018,25-29 Years
Gore district,780,2018,25-29 Years
Invercargill city,3780,2018,25-29 Years
Area outside territorial authority,0,2018,25-29 Years
"Total, New Zealand by territorial authority/SA2",356730,2023,25-29 Years
Far North district,3580,2023,25-29 Years
Whangarei district,5510,2023,25-29 Years
Kaipara district,1160,2023,25-29 Years
Auckland,132080,2023,25-29 Years
Rodney local board area,4130,2023,25-29 Years
Hibiscus and Bays local board area,5270,2023,25-29 Years
Upper Harbour local board area,5060,2023,25-29 Years
Kaipatiki local board area,7740,2023,25-29 Years
Devonport-Takapuna local board area,3470,2023,25-29 Years
Henderson-Massey local board area,10280,2023,25-29 Years
Waitakere Ranges local board area,3250,2023,25-29 Years
Aotea/Great Barrier local board area,50,2023,25-29 Years
Waiheke local board area,380,2023,25-29 Years
Waitemata local board area,10650,2023,25-29 Years
Whau local board area,7120,2023,25-29 Years
Albert-Eden local board area,9600,2023,25-29 Years
Puketapapa local board area,5830,2023,25-29 Years
Orakei local board area,5390,2023,25-29 Years
Maungakiekie-Tamaki local board area,7970,2023,25-29 Years
Howick local board area,9880,2023,25-29 Years
Mangere-Otahuhu local board area,6800,2023,25-29 Years
Otara-Papatoetoe local board area,9130,2023,25-29 Years
Manurewa local board area,9420,2023,25-29 Years
Papakura local board area,6190,2023,25-29 Years
Franklin local board area,4490,2023,25-29 Years
Thames-Coromandel district,1180,2023,25-29 Years
Hauraki district,980,2023,25-29 Years
Waikato district,4820,2023,25-29 Years
Matamata-Piako district,2300,2023,25-29 Years
Hamilton city,15970,2023,25-29 Years
Waipa district,3420,2023,25-29 Years
Otorohanga district,700,2023,25-29 Years
South Waikato district,1620,2023,25-29 Years
Waitomo district,600,2023,25-29 Years
Taupo district,2200,2023,25-29 Years
Western Bay of Plenty district,2980,2023,25-29 Years
Tauranga city,9680,2023,25-29 Years
Rotorua district,5130,2023,25-29 Years
Whakatane district,2070,2023,25-29 Years
Kawerau district,410,2023,25-29 Years
Opotiki district,650,2023,25-29 Years
Gisborne district,3150,2023,25-29 Years
Wairoa district,560,2023,25-29 Years
Hastings district,5730,2023,25-29 Years
Napier city,3790,2023,25-29 Years
Central Hawke's Bay district,720,2023,25-29 Years
New Plymouth district,4670,2023,25-29 Years
Stratford district,570,2023,25-29 Years
South Taranaki district,1450,2023,25-29 Years
Ruapehu district,750,2023,25-29 Years
Whanganui district,2670,2023,25-29 Years
Rangitikei district,880,2023,25-29 Years
Manawatu district,1980,2023,25-29 Years
Palmerston North city,7210,2023,25-29 Years
Tararua district,970,2023,25-29 Years
Horowhenua district,1960,2023,25-29 Years
Kapiti Coast district,2450,2023,25-29 Years
Porirua city,3890,2023,25-29 Years
Upper Hutt city,2990,2023,25-29 Years
Lower Hutt city,8130,2023,25-29 Years
Wellington city,22350,2023,25-29 Years
Masterton district,1610,2023,25-29 Years
Carterton district,410,2023,25-29 Years
South Wairarapa district,480,2023,25-29 Years
Tasman district,2740,2023,25-29 Years
Nelson city,3000,2023,25-29 Years
Marlborough district,2890,2023,25-29 Years
Kaikoura district,250,2023,25-29 Years
Buller district,380,2023,25-29 Years
Grey district,700,2023,25-29 Years
Westland district,530,2023,25-29 Years
Hurunui district,680,2023,25-29 Years
Waimakariri district,3350,2023,25-29 Years
Christchurch city,30830,2023,25-29 Years
Selwyn district,4460,2023,25-29 Years
Ashburton district,2480,2023,25-29 Years
Timaru district,2790,2023,25-29 Years
Mackenzie district,450,2023,25-29 Years
Waimate district,420,2023,25-29 Years
Chatham Islands territory,60,2023,25-29 Years
Waitaki district,1360,2023,25-29 Years
Central Otago district,1460,2023,25-29 Years
Queenstown-Lakes district,5840,2023,25-29 Years
Dunedin city,8350,2023,25-29 Years
Clutha district,1110,2023,25-29 Years
Southland district,1900,2023,25-29 Years
Gore district,750,2023,25-29 Years
Invercargill city,3540,2023,25-29 Years
Area outside territorial authority,5,2023,25-29 Years
"Total, New Zealand by territorial authority/SA2",302030,1996,30-34 Years
Far North district,3910,1996,30-34 Years
Whangarei district,4960,1996,30-34 Years
Kaipara district,1310,1996,30-34 Years
Auckland,98310,1996,30-34 Years
Rodney local board area,2920,1996,30-34 Years
Hibiscus and Bays local board area,4570,1996,30-34 Years
Upper Harbour local board area,2490,1996,30-34 Years
Kaipatiki local board area,6740,1996,30-34 Years
Devonport-Takapuna local board area,4020,1996,30-34 Years
Henderson-Massey local board area,7550,1996,30-34 Years
Waitakere Ranges local board area,3990,1996,30-34 Years
Aotea/Great Barrier local board area,95,1996,30-34 Years
Waiheke local board area,490,1996,30-34 Years
Waitemata local board area,5440,1996,30-34 Years
Whau local board area,5610,1996,30-34 Years
Albert-Eden local board area,9280,1996,30-34 Years
Puketapapa local board area,3830,1996,30-34 Years
Orakei local board area,5840,1996,30-34 Years
Maungakiekie-Tamaki local board area,6140,1996,30-34 Years
Howick local board area,5660,1996,30-34 Years
Mangere-Otahuhu local board area,5030,1996,30-34 Years
Otara-Papatoetoe local board area,5750,1996,30-34 Years
Manurewa local board area,5680,1996,30-34 Years
Papakura local board area,3140,1996,30-34 Years
Franklin local board area,4050,1996,30-34 Years
Thames-Coromandel district,1570,1996,30-34 Years
Hauraki district,1350,1996,30-34 Years
Waikato district,4020,1996,30-34 Years
Matamata-Piako district,2390,1996,30-34 Years
Hamilton city,8730,1996,30-34 Years
Waipa district,2930,1996,30-34 Years
Otorohanga district,800,1996,30-34 Years
South Waikato district,2040,1996,30-34 Years
Waitomo district,800,1996,30-34 Years
Taupo district,2480,1996,30-34 Years
Western Bay of Plenty district,2430,1996,30-34 Years
Tauranga city,5960,1996,30-34 Years
Rotorua district,5300,1996,30-34 Years
Whakatane district,2570,1996,30-34 Years
Kawerau district,660,1996,30-34 Years
Opotiki district,690,1996,30-34 Years
Gisborne district,3460,1996,30-34 Years
Wairoa district,740,1996,30-34 Years
Hastings district,5000,1996,30-34 Years
Napier city,3910,1996,30-34 Years
Central Hawke's Bay district,940,1996,30-34 Years
New Plymouth district,5190,1996,30-34 Years
Stratford district,750,1996,30-34 Years
South Taranaki district,2330,1996,30-34 Years
Ruapehu district,1460,1996,30-34 Years
Whanganui district,3190,1996,30-34 Years
Rangitikei district,1390,1996,30-34 Years
Manawatu district,2070,1996,30-34 Years
Palmerston North city,6030,1996,30-34 Years
Tararua district,1500,1996,30-34 Years
Horowhenua district,2070,1996,30-34 Years
Kapiti Coast district,2640,1996,30-34 Years
Porirua city,3940,1996,30-34 Years
Upper Hutt city,2970,1996,30-34 Years
Lower Hutt city,8410,1996,30-34 Years
Wellington city,16890,1996,30-34 Years
Masterton district,1570,1996,30-34 Years
Carterton district,440,1996,30-34 Years
South Wairarapa district,630,1996,30-34 Years
Tasman district,2850,1996,30-34 Years
Nelson city,3320,1996,30-34 Years
Marlborough district,2800,1996,30-34 Years
Kaikoura district,240,1996,30-34 Years
Buller district,820,1996,30-34 Years
Grey district,1130,1996,30-34 Years
Westland district,700,1996,30-34 Years
Hurunui district,750,1996,30-34 Years
Waimakariri district,2650,1996,30-34 Years
Christchurch city,25700,1996,30-34 Years
Selwyn district,2110,1996,30-34 Years
Ashburton district,1880,1996,30-34 Years
Timaru district,3010,1996,30-34 Years
Mackenzie district,330,1996,30-34 Years
Waimate district,530,1996,30-34 Years
Chatham Islands territory,70,1996,30-34 Years
Waitaki district,1490,1996,30-34 Years
Central Otago district,1040,1996,30-34 Years
Queenstown-Lakes district,1550,1996,30-34 Years
Dunedin city,8860,1996,30-34 Years
Clutha district,1460,1996,30-34 Years
Southland district,2540,1996,30-34 Years
Gore district,1070,1996,30-34 Years
Invercargill city,4370,1996,30-34 Years
Area outside territorial authority,40,1996,30-34 Years
"Total, New Zealand by territorial authority/SA2",291640,2001,30-34 Years
Far North district,3450,2001,30-34 Years
Whangarei district,4580,2001,30-34 Years
Kaipara district,1070,2001,30-34 Years
Auckland,101400,2001,30-34 Years
Rodney local board area,3020,2001,30-34 Years
Hibiscus and Bays local board area,4910,2001,30-34 Years
Upper Harbour local board area,2870,2001,30-34 Years
Kaipatiki local board area,7200,2001,30-34 Years
Devonport-Takapuna local board area,3630,2001,30-34 Years
Henderson-Massey local board area,7860,2001,30-34 Years
Waitakere Ranges local board area,3780,2001,30-34 Years
