Region,Population,Year,Age
Whanganui district,44400,2001,"Total people, age"
Rangitikei district,15500,2001,"Total people, age"
Manawatu district,26300,2001,"Total people, age"
Palmerston North city,77100,2001,"Total people, age"
Tararua district,18350,2001,"Total people, age"
Horowhenua district,30600,2001,"Total people, age"
Kapiti Coast district,43600,2001,"Total people, age"
Porirua city,49500,2001,"Total people, age"
Upper Hutt city,37700,2001,"Total people, age"
Lower Hutt city,99100,2001,"Total people, age"
Wellington city,171100,2001,"Total people, age"
Masterton district,23200,2001,"Total people, age"
Carterton district,7000,2001,"Total people, age"
South Wairarapa district,8940,2001,"Total people, age"
Tasman district,42400,2001,"Total people, age"
Nelson city,42900,2001,"Total people, age"
Marlborough district,40700,2001,"Total people, age"
Kaikoura district,3580,2001,"Total people, age"
Buller district,9860,2001,"Total people, age"
Grey district,13200,2001,"Total people, age"
Westland district,7990,2001,"Total people, age"
Hurunui district,10150,2001,"Total people, age"
Waimakariri district,37900,2001,"Total people, age"
Christchurch city,335300,2001,"Total people, age"
Selwyn district,28300,2001,"Total people, age"
Ashburton district,26000,2001,"Total people, age"
Timaru district,42800,2001,"Total people, age"
Mackenzie district,3790,2001,"Total people, age"
Waimate district,7220,2001,"Total people, age"
Chatham Islands territory,750,2001,"Total people, age"
Waitaki district,20500,2001,"Total people, age"
Central Otago district,14750,2001,"Total people, age"
Queenstown-Lakes district,17850,2001,"Total people, age"
Dunedin city,119300,2001,"Total people, age"
Clutha district,17550,2001,"Total people, age"
Southland district,29400,2001,"Total people, age"
Gore district,12750,2001,"Total people, age"
Invercargill city,51100,2001,"Total people, age"
Area outside territorial authority,150,2001,"Total people, age"
"Total, New Zealand by territorial authority/SA2",4184600,2006,"Total people, age"
Far North district,57500,2006,"Total people, age"
Whangarei district,76500,2006,"Total people, age"
Kaipara district,18550,2006,"Total people, age"
Auckland,1373000,2006,"Total people, age"
Rodney local board area,51000,2006,"Total people, age"
Hibiscus and Bays local board area,85200,2006,"Total people, age"
Upper Harbour local board area,45100,2006,"Total people, age"
Kaipatiki local board area,83600,2006,"Total people, age"
Devonport-Takapuna local board area,55700,2006,"Total people, age"
Henderson-Massey local board area,103700,2006,"Total people, age"
Waitakere Ranges local board area,47500,2006,"Total people, age"
Aotea/Great Barrier local board area,940,2006,"Total people, age"
Waiheke local board area,8150,2006,"Total people, age"
Waitemata local board area,66600,2006,"Total people, age"
Whau local board area,73100,2006,"Total people, age"
Albert-Eden local board area,96200,2006,"Total people, age"
Puketapapa local board area,53900,2006,"Total people, age"
Orakei local board area,78400,2006,"Total people, age"
Maungakiekie-Tamaki local board area,70400,2006,"Total people, age"
Howick local board area,119100,2006,"Total people, age"
Mangere-Otahuhu local board area,72500,2006,"Total people, age"
Otara-Papatoetoe local board area,76600,2006,"Total people, age"
Manurewa local board area,81600,2006,"Total people, age"
Papakura local board area,43100,2006,"Total people, age"
Franklin local board area,60600,2006,"Total people, age"
Thames-Coromandel district,26700,2006,"Total people, age"
Hauraki district,18300,2006,"Total people, age"
Waikato district,59500,2006,"Total people, age"
Matamata-Piako district,31200,2006,"Total people, age"
Hamilton city,134800,2006,"Total people, age"
Waipa district,43700,2006,"Total people, age"
Otorohanga district,9310,2006,"Total people, age"
South Waikato district,23200,2006,"Total people, age"
Waitomo district,9680,2006,"Total people, age"
Taupo district,33400,2006,"Total people, age"
Western Bay of Plenty district,42600,2006,"Total people, age"
Tauranga city,107300,2006,"Total people, age"
Rotorua district,68100,2006,"Total people, age"
Whakatane district,34500,2006,"Total people, age"
Kawerau district,7150,2006,"Total people, age"
Opotiki district,9200,2006,"Total people, age"
Gisborne district,45900,2006,"Total people, age"
Wairoa district,8720,2006,"Total people, age"
Hastings district,73200,2006,"Total people, age"
Napier city,56800,2006,"Total people, age"
Central Hawke's Bay district,13250,2006,"Total people, age"
New Plymouth district,71100,2006,"Total people, age"
Stratford district,9120,2006,"Total people, age"
South Taranaki district,27200,2006,"Total people, age"
Ruapehu district,14050,2006,"Total people, age"
Whanganui district,43800,2006,"Total people, age"
Rangitikei district,15150,2006,"Total people, age"
Manawatu district,26800,2006,"Total people, age"
Palmerston North city,80800,2006,"Total people, age"
Tararua district,18050,2006,"Total people, age"
Horowhenua district,30600,2006,"Total people, age"
Kapiti Coast district,47500,2006,"Total people, age"
Porirua city,50600,2006,"Total people, age"
Upper Hutt city,39700,2006,"Total people, age"
Lower Hutt city,101300,2006,"Total people, age"
Wellington city,187700,2006,"Total people, age"
Masterton district,23200,2006,"Total people, age"
Carterton district,7260,2006,"Total people, age"
South Wairarapa district,9120,2006,"Total people, age"
Tasman district,45800,2006,"Total people, age"
Nelson city,44300,2006,"Total people, age"
Marlborough district,43600,2006,"Total people, age"
Kaikoura district,3730,2006,"Total people, age"
Buller district,9940,2006,"Total people, age"
Grey district,13550,2006,"Total people, age"
Westland district,8620,2006,"Total people, age"
Hurunui district,10750,2006,"Total people, age"
Waimakariri district,44100,2006,"Total people, age"
Christchurch city,361800,2006,"Total people, age"
Selwyn district,34900,2006,"Total people, age"
Ashburton district,28000,2006,"Total people, age"
Timaru district,43800,2006,"Total people, age"
Mackenzie district,3900,2006,"Total people, age"
Waimate district,7380,2006,"Total people, age"
Chatham Islands territory,650,2006,"Total people, age"
Waitaki district,20700,2006,"Total people, age"
Central Otago district,17050,2006,"Total people, age"
Queenstown-Lakes district,24100,2006,"Total people, age"
Dunedin city,122300,2006,"Total people, age"
Clutha district,17200,2006,"Total people, age"
Southland district,29200,2006,"Total people, age"
Gore district,12400,2006,"Total people, age"
Invercargill city,51600,2006,"Total people, age"
Area outside territorial authority,180,2006,"Total people, age"
"Total, New Zealand by territorial authority/SA2",4442100,2013,"Total people, age"
Far North district,60600,2013,"Total people, age"
Whangarei district,83700,2013,"Total people, age"
Kaipara district,20500,2013,"Total people, age"
Auckland,1493200,2013,"Total people, age"
Rodney local board area,57300,2013,"Total people, age"
Hibiscus and Bays local board area,94000,2013,"Total people, age"
Upper Harbour local board area,56800,2013,"Total people, age"
Kaipatiki local board area,87000,2013,"Total people, age"
Devonport-Takapuna local board area,58500,2013,"Total people, age"
Henderson-Massey local board area,113500,2013,"Total people, age"
Waitakere Ranges local board area,50700,2013,"Total people, age"
Aotea/Great Barrier local board area,950,2013,"Total people, age"
Waiheke local board area,8630,2013,"Total people, age"
Waitemata local board area,81300,2013,"Total people, age"
Whau local board area,76700,2013,"Total people, age"
Albert-Eden local board area,100000,2013,"Total people, age"
Puketapapa local board area,56300,2013,"Total people, age"
Orakei local board area,83700,2013,"Total people, age"
Maungakiekie-Tamaki local board area,73700,2013,"Total people, age"
Howick local board area,135000,2013,"Total people, age"
Mangere-Otahuhu local board area,75300,2013,"Total people, age"
Otara-Papatoetoe local board area,80300,2013,"Total people, age"
Manurewa local board area,87000,2013,"Total people, age"
Papakura local board area,48200,2013,"Total people, age"
Franklin local board area,68300,2013,"Total people, age"
Thames-Coromandel district,27300,2013,"Total people, age"
Hauraki district,18600,2013,"Total people, age"
Waikato district,66500,2013,"Total people, age"
Matamata-Piako district,32900,2013,"Total people, age"
Hamilton city,150200,2013,"Total people, age"
Waipa district,48700,2013,"Total people, age"
Otorohanga district,9590,2013,"Total people, age"
South Waikato district,23200,2013,"Total people, age"
Waitomo district,9340,2013,"Total people, age"
Taupo district,34800,2013,"Total people, age"
Western Bay of Plenty district,45100,2013,"Total people, age"
Tauranga city,120200,2013,"Total people, age"
Rotorua district,68400,2013,"Total people, age"
Whakatane district,34200,2013,"Total people, age"
Kawerau district,6650,2013,"Total people, age"
Opotiki district,8780,2013,"Total people, age"
Gisborne district,47000,2013,"Total people, age"
Wairoa district,8300,2013,"Total people, age"
Hastings district,76700,2013,"Total people, age"
Napier city,59600,2013,"Total people, age"
Central Hawke's Bay district,13250,2013,"Total people, age"
New Plymouth district,77100,2013,"Total people, age"
Stratford district,9210,2013,"Total people, age"
South Taranaki district,27500,2013,"Total people, age"
Ruapehu district,12450,2013,"Total people, age"
Whanganui district,43500,2013,"Total people, age"
Rangitikei district,14550,2013,"Total people, age"
Manawatu district,28500,2013,"Total people, age"
Palmerston North city,83500,2013,"Total people, age"
Tararua district,17450,2013,"Total people, age"
Horowhenua district,31200,2013,"Total people, age"
Kapiti Coast district,50700,2013,"Total people, age"
Porirua city,53700,2013,"Total people, age"
Upper Hutt city,41300,2013,"Total people, age"
Lower Hutt city,101200,2013,"Total people, age"
Wellington city,197500,2013,"Total people, age"
Masterton district,24100,2013,"Total people, age"
Carterton district,8490,2013,"Total people, age"
South Wairarapa district,9800,2013,"Total people, age"
Tasman district,48800,2013,"Total people, age"
Nelson city,48700,2013,"Total people, age"
Marlborough district,44700,2013,"Total people, age"
Kaikoura district,3640,2013,"Total people, age"
Buller district,10650,2013,"Total people, age"
Grey district,13700,2013,"Total people, age"
Westland district,8570,2013,"Total people, age"
Hurunui district,12000,2013,"Total people, age"
Waimakariri district,52300,2013,"Total people, age"
Christchurch city,356700,2013,"Total people, age"
Selwyn district,46700,2013,"Total people, age"
Ashburton district,32300,2013,"Total people, age"
Timaru district,45400,2013,"Total people, age"
Mackenzie district,4300,2013,"Total people, age"
Waimate district,7810,2013,"Total people, age"
Chatham Islands territory,600,2013,"Total people, age"
Waitaki district,21400,2013,"Total people, age"
Central Otago district,18500,2013,"Total people, age"
