Region,Population,Year,Age
Kaikoura District,180,2043,15-19 years
Buller District,340,2043,15-19 years
Grey District,730,2043,15-19 years
Westland District,300,2043,15-19 years
Hurunui District,620,2043,15-19 years
Waimakariri District,4690,2043,15-19 years
Christchurch City,23890,2043,15-19 years
Selwyn District,7040,2043,15-19 years
Ashburton District,2120,2043,15-19 years
Timaru District,2540,2043,15-19 years
Mackenzie District,320,2043,15-19 years
Waimate District,380,2043,15-19 years
Chatham Islands Territory,35,2043,15-19 years
Waitaki District,1100,2043,15-19 years
Central Otago District,1460,2043,15-19 years
Queenstown-Lakes District,2970,2043,15-19 years
Dunedin City,11450,2043,15-19 years
Clutha District,930,2043,15-19 years
Southland District,1600,2043,15-19 years
Gore District,620,2043,15-19 years
Invercargill City,3080,2043,15-19 years
Far North District,4490,2048,15-19 years
Whangarei District,6250,2048,15-19 years
Kaipara District,1620,2048,15-19 years
Auckland,111130,2048,15-19 years
Thames-Coromandel District,1170,2048,15-19 years
Hauraki District,1060,2048,15-19 years
Waikato District,7730,2048,15-19 years
Matamata-Piako District,2210,2048,15-19 years
Hamilton City,15480,2048,15-19 years
Waipa District,3940,2048,15-19 years
Otorohanga District,610,2048,15-19 years
South Waikato District,1610,2048,15-19 years
Waitomo District,440,2048,15-19 years
Taupo District,2280,2048,15-19 years
Western Bay of Plenty District,3590,2048,15-19 years
Tauranga City,10810,2048,15-19 years
Rotorua District,4380,2048,15-19 years
Whakatane District,2130,2048,15-19 years
Kawerau District,400,2048,15-19 years
Opotiki District,570,2048,15-19 years
Gisborne District,2970,2048,15-19 years
Wairoa District,510,2048,15-19 years
Hastings District,6000,2048,15-19 years
Napier City,3880,2048,15-19 years
Central Hawke's Bay District,870,2048,15-19 years
New Plymouth District,5190,2048,15-19 years
Stratford District,610,2048,15-19 years
South Taranaki District,1500,2048,15-19 years
Ruapehu District,480,2048,15-19 years
Whanganui District,2850,2048,15-19 years
Rangitikei District,920,2048,15-19 years
Manawatu District,2130,2048,15-19 years
Palmerston North City,6670,2048,15-19 years
Tararua District,970,2048,15-19 years
Horowhenua District,2210,2048,15-19 years
Kapiti Coast District,2840,2048,15-19 years
Porirua City,3920,2048,15-19 years
Upper Hutt City,3050,2048,15-19 years
Lower Hutt City,6100,2048,15-19 years
Wellington City,13150,2048,15-19 years
Masterton District,1830,2048,15-19 years
Carterton District,650,2048,15-19 years
South Wairarapa District,540,2048,15-19 years
Tasman District,3230,2048,15-19 years
Nelson City,2680,2048,15-19 years
Marlborough District,2250,2048,15-19 years
Kaikoura District,160,2048,15-19 years
Buller District,310,2048,15-19 years
Grey District,690,2048,15-19 years
Westland District,270,2048,15-19 years
Hurunui District,610,2048,15-19 years
Waimakariri District,4700,2048,15-19 years
Christchurch City,23910,2048,15-19 years
Selwyn District,6890,2048,15-19 years
Ashburton District,2080,2048,15-19 years
Timaru District,2410,2048,15-19 years
Mackenzie District,300,2048,15-19 years
Waimate District,380,2048,15-19 years
Chatham Islands Territory,35,2048,15-19 years
Waitaki District,1100,2048,15-19 years
Central Otago District,1420,2048,15-19 years
Queenstown-Lakes District,2780,2048,15-19 years
Dunedin City,11310,2048,15-19 years
Clutha District,910,2048,15-19 years
Southland District,1550,2048,15-19 years
Gore District,600,2048,15-19 years
Invercargill City,3060,2048,15-19 years
Far North District,3320,2023,20-24 years
Whangarei District,4660,2023,20-24 years
Kaipara District,1030,2023,20-24 years
Auckland,108290,2023,20-24 years
Thames-Coromandel District,1180,2023,20-24 years
Hauraki District,850,2023,20-24 years
Waikato District,4780,2023,20-24 years
Matamata-Piako District,1840,2023,20-24 years
Hamilton City,15130,2023,20-24 years
Waipa District,3050,2023,20-24 years
Otorohanga District,590,2023,20-24 years
South Waikato District,1350,2023,20-24 years
Waitomo District,520,2023,20-24 years
Taupo District,1810,2023,20-24 years
Western Bay of Plenty District,2570,2023,20-24 years
Tauranga City,7700,2023,20-24 years
Rotorua District,4260,2023,20-24 years
Whakatane District,1850,2023,20-24 years
Kawerau District,420,2023,20-24 years
Opotiki District,540,2023,20-24 years
Gisborne District,2800,2023,20-24 years
Wairoa District,510,2023,20-24 years
Hastings District,4690,2023,20-24 years
Napier City,3410,2023,20-24 years
Central Hawke's Bay District,640,2023,20-24 years
New Plymouth District,3990,2023,20-24 years
Stratford District,480,2023,20-24 years
South Taranaki District,1550,2023,20-24 years
Ruapehu District,550,2023,20-24 years
Whanganui District,2300,2023,20-24 years
Rangitikei District,830,2023,20-24 years
Manawatu District,1560,2023,20-24 years
Palmerston North City,8230,2023,20-24 years
Tararua District,860,2023,20-24 years
Horowhenua District,1840,2023,20-24 years
Kapiti Coast District,2180,2023,20-24 years
Porirua City,3730,2023,20-24 years
Upper Hutt City,2550,2023,20-24 years
Lower Hutt City,6480,2023,20-24 years
Wellington City,24680,2023,20-24 years
Masterton District,1440,2023,20-24 years
Carterton District,400,2023,20-24 years
South Wairarapa District,380,2023,20-24 years
Tasman District,2740,2023,20-24 years
Nelson City,2610,2023,20-24 years
Marlborough District,2100,2023,20-24 years
Kaikoura District,160,2023,20-24 years
Buller District,280,2023,20-24 years
Grey District,720,2023,20-24 years
Westland District,360,2023,20-24 years
Hurunui District,480,2023,20-24 years
Waimakariri District,3080,2023,20-24 years
Christchurch City,30320,2023,20-24 years
Selwyn District,4220,2023,20-24 years
Ashburton District,1840,2023,20-24 years
Timaru District,2110,2023,20-24 years
Mackenzie District,300,2023,20-24 years
Waimate District,310,2023,20-24 years
Chatham Islands Territory,55,2023,20-24 years
Waitaki District,1120,2023,20-24 years
Central Otago District,870,2023,20-24 years
Queenstown-Lakes District,2380,2023,20-24 years
Dunedin City,14370,2023,20-24 years
Clutha District,930,2023,20-24 years
Southland District,1540,2023,20-24 years
Gore District,540,2023,20-24 years
Invercargill City,3310,2023,20-24 years
Far North District,3640,2028,20-24 years
Whangarei District,5150,2028,20-24 years
Kaipara District,1090,2028,20-24 years
Auckland,114950,2028,20-24 years
Thames-Coromandel District,1150,2028,20-24 years
Hauraki District,770,2028,20-24 years
Waikato District,5520,2028,20-24 years
Matamata-Piako District,1810,2028,20-24 years
Hamilton City,16580,2028,20-24 years
Waipa District,3120,2028,20-24 years
Otorohanga District,620,2028,20-24 years
South Waikato District,1260,2028,20-24 years
Waitomo District,470,2028,20-24 years
Taupo District,2100,2028,20-24 years
Western Bay of Plenty District,2750,2028,20-24 years
Tauranga City,9140,2028,20-24 years
Rotorua District,4570,2028,20-24 years
Whakatane District,1990,2028,20-24 years
Kawerau District,390,2028,20-24 years
Opotiki District,550,2028,20-24 years
Gisborne District,2760,2028,20-24 years
Wairoa District,490,2028,20-24 years
Hastings District,5050,2028,20-24 years
Napier City,3440,2028,20-24 years
Central Hawke's Bay District,690,2028,20-24 years
New Plymouth District,4850,2028,20-24 years
Stratford District,400,2028,20-24 years
South Taranaki District,1520,2028,20-24 years
Ruapehu District,570,2028,20-24 years
Whanganui District,2230,2028,20-24 years
Rangitikei District,860,2028,20-24 years
Manawatu District,1510,2028,20-24 years
Palmerston North City,8310,2028,20-24 years
Tararua District,960,2028,20-24 years
Horowhenua District,1680,2028,20-24 years
Kapiti Coast District,2480,2028,20-24 years
Porirua City,3930,2028,20-24 years
Upper Hutt City,2470,2028,20-24 years
Lower Hutt City,6080,2028,20-24 years
Wellington City,24610,2028,20-24 years
Masterton District,1400,2028,20-24 years
Carterton District,460,2028,20-24 years
South Wairarapa District,430,2028,20-24 years
Tasman District,2780,2028,20-24 years
Nelson City,2720,2028,20-24 years
Marlborough District,2170,2028,20-24 years
Kaikoura District,140,2028,20-24 years
Buller District,300,2028,20-24 years
Grey District,690,2028,20-24 years
Westland District,360,2028,20-24 years
Hurunui District,580,2028,20-24 years
Waimakariri District,3700,2028,20-24 years
Christchurch City,30560,2028,20-24 years
Selwyn District,5720,2028,20-24 years
Ashburton District,1970,2028,20-24 years
Timaru District,2090,2028,20-24 years
Mackenzie District,260,2028,20-24 years
Waimate District,320,2028,20-24 years
Chatham Islands Territory,65,2028,20-24 years
Waitaki District,1090,2028,20-24 years
Central Otago District,1000,2028,20-24 years
Queenstown-Lakes District,3110,2028,20-24 years
Dunedin City,13970,2028,20-24 years
Clutha District,800,2028,20-24 years
Southland District,1550,2028,20-24 years
Gore District,670,2028,20-24 years
Invercargill City,3630,2028,20-24 years
Far North District,3850,2033,20-24 years
Whangarei District,5810,2033,20-24 years
Kaipara District,1200,2033,20-24 years
Auckland,133120,2033,20-24 years
Thames-Coromandel District,1150,2033,20-24 years
Hauraki District,880,2033,20-24 years
Waikato District,6290,2033,20-24 years
Matamata-Piako District,1800,2033,20-24 years
Hamilton City,18390,2033,20-24 years
Waipa District,3330,2033,20-24 years
Otorohanga District,660,2033,20-24 years
South Waikato District,1370,2033,20-24 years
Waitomo District,440,2033,20-24 years
Taupo District,2100,2033,20-24 years
Western Bay of Plenty District,2830,2033,20-24 years
Tauranga City,10050,2033,20-24 years
Rotorua District,4930,2033,20-24 years
Whakatane District,1850,2033,20-24 years
Kawerau District,340,2033,20-24 years
Opotiki District,410,2033,20-24 years
Gisborne District,2750,2033,20-24 years
Wairoa District,500,2033,20-24 years
Hastings District,5490,2033,20-24 years
Napier City,3730,2033,20-24 years
Central Hawke's Bay District,710,2033,20-24 years
New Plymouth District,5000,2033,20-24 years
Stratford District,490,2033,20-24 years
South Taranaki District,1600,2033,20-24 years
Ruapehu District,600,2033,20-24 years
Whanganui District,2500,2033,20-24 years
Rangitikei District,750,2033,20-24 years
Manawatu District,1700,2033,20-24 years
Palmerston North City,8830,2033,20-24 years
Tararua District,860,2033,20-24 years
Horowhenua District,1770,2033,20-24 years
Kapiti Coast District,2420,2033,20-24 years
Porirua City,4230,2033,20-24 years
Upper Hutt City,2640,2033,20-24 years
Lower Hutt City,6330,2033,20-24 years
Wellington City,24770,2033,20-24 years
Masterton District,1420,2033,20-24 years
Carterton District,490,2033,20-24 years
South Wairarapa District,460,2033,20-24 years
Tasman District,2490,2033,20-24 years
Nelson City,2960,2033,20-24 years
Marlborough District,2240,2033,20-24 years
Kaikoura District,190,2033,20-24 years
Buller District,280,2033,20-24 years
Grey District,740,2033,20-24 years
Westland District,330,2033,20-24 years
Hurunui District,550,2033,20-24 years
Waimakariri District,3750,2033,20-24 years
Christchurch City,31570,2033,20-24 years
Selwyn District,6120,2033,20-24 years
Ashburton District,2130,2033,20-24 years
Timaru District,2240,2033,20-24 years
Mackenzie District,260,2033,20-24 years
Waimate District,270,2033,20-24 years
Chatham Islands Territory,45,2033,20-24 years
Waitaki District,1040,2033,20-24 years
Central Otago District,1110,2033,20-24 years
Queenstown-Lakes District,3620,2033,20-24 years
Dunedin City,15460,2033,20-24 years
Clutha District,790,2033,20-24 years
Southland District,1590,2033,20-24 years
Gore District,640,2033,20-24 years
Invercargill City,3730,2033,20-24 years
Far North District,3630,2038,20-24 years
Whangarei District,5480,2038,20-24 years
Kaipara District,1390,2038,20-24 years
Auckland,130180,2038,20-24 years
Thames-Coromandel District,1010,2038,20-24 years
Hauraki District,760,2038,20-24 years
Waikato District,6540,2038,20-24 years
Matamata-Piako District,1730,2038,20-24 years
Hamilton City,18080,2038,20-24 years
Waipa District,3290,2038,20-24 years
Otorohanga District,600,2038,20-24 years
South Waikato District,1310,2038,20-24 years
Waitomo District,420,2038,20-24 years
Taupo District,2080,2038,20-24 years
Western Bay of Plenty District,2710,2038,20-24 years
Tauranga City,10020,2038,20-24 years
Rotorua District,4330,2038,20-24 years
Whakatane District,1800,2038,20-24 years
Kawerau District,360,2038,20-24 years
Opotiki District,440,2038,20-24 years
Gisborne District,2590,2038,20-24 years
Wairoa District,420,2038,20-24 years
Hastings District,4880,2038,20-24 years
Napier City,3480,2038,20-24 years
Central Hawke's Bay District,670,2038,20-24 years
New Plymouth District,4890,2038,20-24 years
Stratford District,430,2038,20-24 years
South Taranaki District,1430,2038,20-24 years
Ruapehu District,440,2038,20-24 years
Whanganui District,2250,2038,20-24 years
Rangitikei District,740,2038,20-24 years
Manawatu District,1720,2038,20-24 years
Palmerston North City,8810,2038,20-24 years
Tararua District,760,2038,20-24 years
Horowhenua District,1590,2038,20-24 years
Kapiti Coast District,2120,2038,20-24 years
Porirua City,3840,2038,20-24 years
Upper Hutt City,2610,2038,20-24 years
Lower Hutt City,5990,2038,20-24 years
Wellington City,22780,2038,20-24 years
Masterton District,1480,2038,20-24 years
Carterton District,400,2038,20-24 years
South Wairarapa District,380,2038,20-24 years
Tasman District,2030,2038,20-24 years
Nelson City,2620,2038,20-24 years
Marlborough District,2050,2038,20-24 years
Kaikoura District,190,2038,20-24 years
Buller District,230,2038,20-24 years
Grey District,590,2038,20-24 years
Westland District,330,2038,20-24 years
Hurunui District,520,2038,20-24 years
Waimakariri District,3800,2038,20-24 years
Christchurch City,30200,2038,20-24 years
Selwyn District,6490,2038,20-24 years
Ashburton District,2080,2038,20-24 years
Timaru District,2130,2038,20-24 years
Mackenzie District,270,2038,20-24 years
Waimate District,260,2038,20-24 years
Chatham Islands Territory,40,2038,20-24 years
Waitaki District,970,2038,20-24 years
Central Otago District,1150,2038,20-24 years
Queenstown-Lakes District,3430,2038,20-24 years
Dunedin City,14830,2038,20-24 years
Clutha District,750,2038,20-24 years
Southland District,1440,2038,20-24 years
Gore District,530,2038,20-24 years
Invercargill City,3420,2038,20-24 years
Far North District,3290,2043,20-24 years
Whangarei District,5210,2043,20-24 years
Kaipara District,1310,2043,20-24 years
Auckland,123890,2043,20-24 years
Thames-Coromandel District,890,2043,20-24 years
Hauraki District,750,2043,20-24 years
Waikato District,6460,2043,20-24 years
Matamata-Piako District,1870,2043,20-24 years
Hamilton City,18890,2043,20-24 years
Waipa District,3280,2043,20-24 years
Otorohanga District,530,2043,20-24 years
South Waikato District,1280,2043,20-24 years
Waitomo District,350,2043,20-24 years
Taupo District,2030,2043,20-24 years
Western Bay of Plenty District,3010,2043,20-24 years
Tauranga City,10290,2043,20-24 years
Rotorua District,4130,2043,20-24 years
Whakatane District,1680,2043,20-24 years
Kawerau District,330,2043,20-24 years
Opotiki District,460,2043,20-24 years
Gisborne District,2410,2043,20-24 years
Wairoa District,390,2043,20-24 years
Hastings District,4980,2043,20-24 years
Napier City,3400,2043,20-24 years
Central Hawke's Bay District,570,2043,20-24 years
New Plymouth District,4700,2043,20-24 years
Stratford District,450,2043,20-24 years
South Taranaki District,1350,2043,20-24 years
Ruapehu District,390,2043,20-24 years
Whanganui District,2240,2043,20-24 years
Rangitikei District,750,2043,20-24 years
Manawatu District,1670,2043,20-24 years
Palmerston North City,8640,2043,20-24 years
Tararua District,680,2043,20-24 years
Horowhenua District,1750,2043,20-24 years
Kapiti Coast District,2010,2043,20-24 years
Porirua City,3710,2043,20-24 years
Upper Hutt City,2780,2043,20-24 years
Lower Hutt City,5690,2043,20-24 years
Wellington City,21500,2043,20-24 years
Masterton District,1580,2043,20-24 years
Carterton District,430,2043,20-24 years
South Wairarapa District,410,2043,20-24 years
Tasman District,2220,2043,20-24 years
Nelson City,2380,2043,20-24 years
Marlborough District,1910,2043,20-24 years
Kaikoura District,190,2043,20-24 years
Buller District,210,2043,20-24 years
Grey District,590,2043,20-24 years
Westland District,280,2043,20-24 years
Hurunui District,450,2043,20-24 years
Waimakariri District,3770,2043,20-24 years
Christchurch City,30870,2043,20-24 years
Selwyn District,6530,2043,20-24 years
Ashburton District,1910,2043,20-24 years
Timaru District,1950,2043,20-24 years
Mackenzie District,320,2043,20-24 years
Waimate District,270,2043,20-24 years
Chatham Islands Territory,45,2043,20-24 years
Waitaki District,730,2043,20-24 years
Central Otago District,1260,2043,20-24 years
Queenstown-Lakes District,3810,2043,20-24 years
Dunedin City,14800,2043,20-24 years
Clutha District,740,2043,20-24 years
Southland District,1200,2043,20-24 years
Gore District,460,2043,20-24 years
Invercargill City,3140,2043,20-24 years
Far North District,3370,2048,20-24 years
Whangarei District,5220,2048,20-24 years
Kaipara District,1370,2048,20-24 years
Auckland,121850,2048,20-24 years
Thames-Coromandel District,890,2048,20-24 years
Hauraki District,720,2048,20-24 years
Waikato District,6830,2048,20-24 years
Matamata-Piako District,1880,2048,20-24 years
Hamilton City,18940,2048,20-24 years
Waipa District,3250,2048,20-24 years
Otorohanga District,520,2048,20-24 years
South Waikato District,1270,2048,20-24 years
Waitomo District,340,2048,20-24 years
Taupo District,2000,2048,20-24 years
Western Bay of Plenty District,3100,2048,20-24 years
Tauranga City,10360,2048,20-24 years
Rotorua District,3880,2048,20-24 years
Whakatane District,1600,2048,20-24 years
Kawerau District,300,2048,20-24 years
Opotiki District,460,2048,20-24 years
Gisborne District,2290,2048,20-24 years
Wairoa District,390,2048,20-24 years
Hastings District,4970,2048,20-24 years
Napier City,3290,2048,20-24 years
Central Hawke's Bay District,570,2048,20-24 years
New Plymouth District,4490,2048,20-24 years
Stratford District,440,2048,20-24 years
South Taranaki District,1230,2048,20-24 years
Ruapehu District,350,2048,20-24 years
Whanganui District,2240,2048,20-24 years
Rangitikei District,740,2048,20-24 years
Manawatu District,1690,2048,20-24 years
Palmerston North City,8460,2048,20-24 years
Tararua District,670,2048,20-24 years
Horowhenua District,1800,2048,20-24 years
Kapiti Coast District,2010,2048,20-24 years
Porirua City,3590,2048,20-24 years
Upper Hutt City,2730,2048,20-24 years
Lower Hutt City,5790,2048,20-24 years
Wellington City,22380,2048,20-24 years
Masterton District,1610,2048,20-24 years
Carterton District,430,2048,20-24 years
South Wairarapa District,410,2048,20-24 years
Tasman District,2330,2048,20-24 years
Nelson City,2240,2048,20-24 years
Marlborough District,1770,2048,20-24 years
Kaikoura District,180,2048,20-24 years
Buller District,200,2048,20-24 years
Grey District,570,2048,20-24 years
Westland District,250,2048,20-24 years
Hurunui District,440,2048,20-24 years
Waimakariri District,3980,2048,20-24 years
Christchurch City,30240,2048,20-24 years
Selwyn District,6820,2048,20-24 years
Ashburton District,1970,2048,20-24 years
Timaru District,1870,2048,20-24 years
Mackenzie District,320,2048,20-24 years
Waimate District,270,2048,20-24 years
Chatham Islands Territory,50,2048,20-24 years
Waitaki District,760,2048,20-24 years
Central Otago District,1300,2048,20-24 years
Queenstown-Lakes District,3920,2048,20-24 years
Dunedin City,14430,2048,20-24 years
Clutha District,730,2048,20-24 years
Southland District,1200,2048,20-24 years
Gore District,460,2048,20-24 years
Invercargill City,3000,2048,20-24 years
Far North District,3670,2023,25-29 Years
Whangarei District,5540,2023,25-29 Years
Kaipara District,1270,2023,25-29 Years
Auckland,125450,2023,25-29 Years
Thames-Coromandel District,1280,2023,25-29 Years
Hauraki District,1020,2023,25-29 Years
Waikato District,4990,2023,25-29 Years
Matamata-Piako District,2340,2023,25-29 Years
Hamilton City,14910,2023,25-29 Years
Waipa District,3460,2023,25-29 Years
Otorohanga District,700,2023,25-29 Years
South Waikato District,1720,2023,25-29 Years
Waitomo District,620,2023,25-29 Years
Taupo District,2140,2023,25-29 Years
Western Bay of Plenty District,3210,2023,25-29 Years
Tauranga City,9700,2023,25-29 Years
Rotorua District,5000,2023,25-29 Years
Whakatane District,2160,2023,25-29 Years
Kawerau District,450,2023,25-29 Years
Opotiki District,630,2023,25-29 Years
Gisborne District,3030,2023,25-29 Years
Wairoa District,580,2023,25-29 Years
Hastings District,5570,2023,25-29 Years
Napier City,3640,2023,25-29 Years
Central Hawke's Bay District,710,2023,25-29 Years
New Plymouth District,4670,2023,25-29 Years
Stratford District,550,2023,25-29 Years
South Taranaki District,1520,2023,25-29 Years
Ruapehu District,780,2023,25-29 Years
Whanganui District,2720,2023,25-29 Years
Rangitikei District,850,2023,25-29 Years
Manawatu District,2130,2023,25-29 Years
Palmerston North City,6920,2023,25-29 Years
Tararua District,1010,2023,25-29 Years
Horowhenua District,1960,2023,25-29 Years
Kapiti Coast District,2230,2023,25-29 Years
Porirua City,3870,2023,25-29 Years
Upper Hutt City,3070,2023,25-29 Years
Lower Hutt City,8610,2023,25-29 Years
Wellington City,22110,2023,25-29 Years
Masterton District,1750,2023,25-29 Years
Carterton District,430,2023,25-29 Years
South Wairarapa District,480,2023,25-29 Years
Tasman District,2770,2023,25-29 Years
Nelson City,2790,2023,25-29 Years
Marlborough District,2850,2023,25-29 Years
Kaikoura District,230,2023,25-29 Years
Buller District,390,2023,25-29 Years
Grey District,710,2023,25-29 Years
Westland District,510,2023,25-29 Years
Hurunui District,700,2023,25-29 Years
Waimakariri District,3370,2023,25-29 Years
Christchurch City,28590,2023,25-29 Years
Selwyn District,4720,2023,25-29 Years
Ashburton District,2410,2023,25-29 Years
Timaru District,2720,2023,25-29 Years
Mackenzie District,390,2023,25-29 Years
Waimate District,400,2023,25-29 Years
Chatham Islands Territory,70,2023,25-29 Years
Waitaki District,1320,2023,25-29 Years
Central Otago District,1450,2023,25-29 Years
Queenstown-Lakes District,5260,2023,25-29 Years
Dunedin City,7410,2023,25-29 Years
Clutha District,1070,2023,25-29 Years
Southland District,1890,2023,25-29 Years
Gore District,740,2023,25-29 Years
Invercargill City,3350,2023,25-29 Years
Far North District,3460,2028,25-29 Years
Whangarei District,4980,2028,25-29 Years
Kaipara District,1140,2028,25-29 Years
Auckland,119630,2028,25-29 Years
Thames-Coromandel District,1290,2028,25-29 Years
Hauraki District,910,2028,25-29 Years
Waikato District,5110,2028,25-29 Years
Matamata-Piako District,2010,2028,25-29 Years
Hamilton City,13880,2028,25-29 Years
Waipa District,3140,2028,25-29 Years
Otorohanga District,630,2028,25-29 Years
South Waikato District,1470,2028,25-29 Years
Waitomo District,560,2028,25-29 Years
Taupo District,1990,2028,25-29 Years
Western Bay of Plenty District,2850,2028,25-29 Years
Tauranga City,8550,2028,25-29 Years
Rotorua District,4600,2028,25-29 Years
Whakatane District,1930,2028,25-29 Years
Kawerau District,430,2028,25-29 Years
Opotiki District,580,2028,25-29 Years
Gisborne District,2910,2028,25-29 Years
Wairoa District,530,2028,25-29 Years
Hastings District,5040,2028,25-29 Years
Napier City,3540,2028,25-29 Years
Central Hawke's Bay District,710,2028,25-29 Years
New Plymouth District,4210,2028,25-29 Years
Stratford District,510,2028,25-29 Years
South Taranaki District,1630,2028,25-29 Years
Ruapehu District,610,2028,25-29 Years
Whanganui District,2310,2028,25-29 Years
Rangitikei District,840,2028,25-29 Years
Manawatu District,1640,2028,25-29 Years
Palmerston North City,6440,2028,25-29 Years
Tararua District,930,2028,25-29 Years
Horowhenua District,1920,2028,25-29 Years
Kapiti Coast District,2130,2028,25-29 Years
Porirua City,3680,2028,25-29 Years
Upper Hutt City,2490,2028,25-29 Years
Lower Hutt City,7580,2028,25-29 Years
Wellington City,23350,2028,25-29 Years
Masterton District,1510,2028,25-29 Years
Carterton District,410,2028,25-29 Years
South Wairarapa District,430,2028,25-29 Years
Tasman District,2860,2028,25-29 Years
Nelson City,2760,2028,25-29 Years
Marlborough District,2420,2028,25-29 Years
Kaikoura District,190,2028,25-29 Years
Buller District,320,2028,25-29 Years
Grey District,730,2028,25-29 Years
Westland District,450,2028,25-29 Years
Hurunui District,560,2028,25-29 Years
Waimakariri District,3190,2028,25-29 Years
Christchurch City,28410,2028,25-29 Years
Selwyn District,4410,2028,25-29 Years
Ashburton District,2160,2028,25-29 Years
Timaru District,2300,2028,25-29 Years
Mackenzie District,340,2028,25-29 Years
Waimate District,350,2028,25-29 Years
Chatham Islands Territory,60,2028,25-29 Years
Waitaki District,1280,2028,25-29 Years
Central Otago District,1010,2028,25-29 Years
Queenstown-Lakes District,4950,2028,25-29 Years
Dunedin City,7730,2028,25-29 Years
Clutha District,1000,2028,25-29 Years
Southland District,1840,2028,25-29 Years
Gore District,590,2028,25-29 Years
Invercargill City,3390,2028,25-29 Years
Far North District,3810,2033,25-29 Years
Whangarei District,5510,2033,25-29 Years
Kaipara District,1180,2033,25-29 Years
Auckland,129520,2033,25-29 Years
Thames-Coromandel District,1260,2033,25-29 Years
Hauraki District,840,2033,25-29 Years
Waikato District,5830,2033,25-29 Years
Matamata-Piako District,1990,2033,25-29 Years
Hamilton City,15320,2033,25-29 Years
Waipa District,3240,2033,25-29 Years
Otorohanga District,660,2033,25-29 Years
South Waikato District,1380,2033,25-29 Years
Waitomo District,520,2033,25-29 Years
Taupo District,2280,2033,25-29 Years
Western Bay of Plenty District,3030,2033,25-29 Years
Tauranga City,9980,2033,25-29 Years
Rotorua District,4910,2033,25-29 Years
Whakatane District,2080,2033,25-29 Years
Kawerau District,410,2033,25-29 Years
Opotiki District,590,2033,25-29 Years
Gisborne District,2880,2033,25-29 Years
Wairoa District,520,2033,25-29 Years
Hastings District,5430,2033,25-29 Years
Napier City,3570,2033,25-29 Years
Central Hawke's Bay District,770,2033,25-29 Years
New Plymouth District,5080,2033,25-29 Years
Stratford District,440,2033,25-29 Years
South Taranaki District,1620,2033,25-29 Years
Ruapehu District,630,2033,25-29 Years
Whanganui District,2250,2033,25-29 Years
Rangitikei District,890,2033,25-29 Years
Manawatu District,1610,2033,25-29 Years
Palmerston North City,6560,2033,25-29 Years
Tararua District,1030,2033,25-29 Years
Horowhenua District,1790,2033,25-29 Years
Kapiti Coast District,2440,2033,25-29 Years
Porirua City,3910,2033,25-29 Years
Upper Hutt City,2430,2033,25-29 Years
Lower Hutt City,7230,2033,25-29 Years
Wellington City,23620,2033,25-29 Years
Masterton District,1450,2033,25-29 Years
Carterton District,470,2033,25-29 Years
South Wairarapa District,490,2033,25-29 Years
Tasman District,2920,2033,25-29 Years
Nelson City,2880,2033,25-29 Years
Marlborough District,2510,2033,25-29 Years
Kaikoura District,170,2033,25-29 Years
Buller District,350,2033,25-29 Years
Grey District,710,2033,25-29 Years
Westland District,460,2033,25-29 Years
Hurunui District,660,2033,25-29 Years
Waimakariri District,3830,2033,25-29 Years
Christchurch City,29100,2033,25-29 Years
Selwyn District,5620,2033,25-29 Years
Ashburton District,2310,2033,25-29 Years
Timaru District,2290,2033,25-29 Years
Mackenzie District,310,2033,25-29 Years
Waimate District,370,2033,25-29 Years
Chatham Islands Territory,70,2033,25-29 Years
Waitaki District,1260,2033,25-29 Years
Central Otago District,1150,2033,25-29 Years
Queenstown-Lakes District,5720,2033,25-29 Years
Dunedin City,7390,2033,25-29 Years
Clutha District,880,2033,25-29 Years
Southland District,1850,2033,25-29 Years
Gore District,720,2033,25-29 Years
Invercargill City,3730,2033,25-29 Years
Far North District,4020,2038,25-29 Years
Whangarei District,6170,2038,25-29 Years
Kaipara District,1300,2038,25-29 Years
Auckland,147670,2038,25-29 Years
Thames-Coromandel District,1260,2038,25-29 Years
Hauraki District,950,2038,25-29 Years
Waikato District,6590,2038,25-29 Years
Matamata-Piako District,1990,2038,25-29 Years
Hamilton City,17130,2038,25-29 Years
Waipa District,3440,2038,25-29 Years
Otorohanga District,700,2038,25-29 Years
South Waikato District,1490,2038,25-29 Years
Waitomo District,490,2038,25-29 Years
Taupo District,2270,2038,25-29 Years
Western Bay of Plenty District,3110,2038,25-29 Years
Tauranga City,10900,2038,25-29 Years
Rotorua District,5270,2038,25-29 Years
Whakatane District,1940,2038,25-29 Years
Kawerau District,360,2038,25-29 Years
Opotiki District,450,2038,25-29 Years
Gisborne District,2870,2038,25-29 Years
Wairoa District,520,2038,25-29 Years
Hastings District,5860,2038,25-29 Years
Napier City,3870,2038,25-29 Years
Central Hawke's Bay District,780,2038,25-29 Years
New Plymouth District,5230,2038,25-29 Years
Stratford District,530,2038,25-29 Years
South Taranaki District,1700,2038,25-29 Years
Ruapehu District,660,2038,25-29 Years
Whanganui District,2520,2038,25-29 Years
Rangitikei District,770,2038,25-29 Years
Manawatu District,1790,2038,25-29 Years
Palmerston North City,7080,2038,25-29 Years
Tararua District,940,2038,25-29 Years
Horowhenua District,1870,2038,25-29 Years
Kapiti Coast District,2380,2038,25-29 Years
Porirua City,4210,2038,25-29 Years
