Region,Population,Year,Age
Southland District,33300,2028,"Total people, age"
Gore District,13050,2028,"Total people, age"
Invercargill City,57800,2028,"Total people, age"
Far North District,80300,2033,"Total people, age"
Whangarei District,111500,2033,"Total people, age"
Kaipara District,30800,2033,"Total people, age"
Auckland,1859400,2033,"Total people, age"
Thames-Coromandel District,34700,2033,"Total people, age"
Hauraki District,23400,2033,"Total people, age"
Waikato District,108700,2033,"Total people, age"
Matamata-Piako District,39500,2033,"Total people, age"
Hamilton City,206000,2033,"Total people, age"
Waipa District,65600,2033,"Total people, age"
Otorohanga District,11300,2033,"Total people, age"
South Waikato District,27500,2033,"Total people, age"
Waitomo District,9790,2033,"Total people, age"
Taupo District,44100,2033,"Total people, age"
Western Bay of Plenty District,67700,2033,"Total people, age"
Tauranga City,182200,2033,"Total people, age"
Rotorua District,80100,2033,"Total people, age"
Whakatane District,39400,2033,"Total people, age"
Kawerau District,7970,2033,"Total people, age"
Opotiki District,11050,2033,"Total people, age"
Gisborne District,54000,2033,"Total people, age"
Wairoa District,9600,2033,"Total people, age"
Hastings District,98200,2033,"Total people, age"
Napier City,70400,2033,"Total people, age"
Central Hawke's Bay District,16900,2033,"Total people, age"
New Plymouth District,93600,2033,"Total people, age"
Stratford District,10550,2033,"Total people, age"
South Taranaki District,30100,2033,"Total people, age"
Ruapehu District,12700,2033,"Total people, age"
Whanganui District,50700,2033,"Total people, age"
Rangitikei District,16850,2033,"Total people, age"
Manawatu District,36300,2033,"Total people, age"
Palmerston North City,95600,2033,"Total people, age"
Tararua District,19500,2033,"Total people, age"
Horowhenua District,40000,2033,"Total people, age"
Kapiti Coast District,60300,2033,"Total people, age"
Porirua City,66200,2033,"Total people, age"
Upper Hutt City,51600,2033,"Total people, age"
Lower Hutt City,118700,2033,"Total people, age"
Wellington City,222200,2033,"Total people, age"
Masterton District,31300,2033,"Total people, age"
Carterton District,11100,2033,"Total people, age"
South Wairarapa District,12700,2033,"Total people, age"
Tasman District,64400,2033,"Total people, age"
Nelson City,56700,2033,"Total people, age"
Marlborough District,54200,2033,"Total people, age"
Kaikoura District,4210,2033,"Total people, age"
Buller District,9340,2033,"Total people, age"
Grey District,14200,2033,"Total people, age"
Westland District,8860,2033,"Total people, age"
Hurunui District,14500,2033,"Total people, age"
Waimakariri District,77100,2033,"Total people, age"
Christchurch City,414200,2033,"Total people, age"
Selwyn District,100200,2033,"Total people, age"
Ashburton District,38800,2033,"Total people, age"
Timaru District,49700,2033,"Total people, age"
Mackenzie District,6070,2033,"Total people, age"
Waimate District,8580,2033,"Total people, age"
Chatham Islands Territory,870,2033,"Total people, age"
Waitaki District,24800,2033,"Total people, age"
Central Otago District,29200,2033,"Total people, age"
Queenstown-Lakes District,58700,2033,"Total people, age"
Dunedin City,135000,2033,"Total people, age"
Clutha District,19150,2033,"Total people, age"
Southland District,33700,2033,"Total people, age"
Gore District,13050,2033,"Total people, age"
Invercargill City,58600,2033,"Total people, age"
Far North District,82400,2038,"Total people, age"
Whangarei District,115400,2038,"Total people, age"
Kaipara District,31900,2038,"Total people, age"
Auckland,1948700,2038,"Total people, age"
Thames-Coromandel District,34500,2038,"Total people, age"
Hauraki District,23600,2038,"Total people, age"
Waikato District,116500,2038,"Total people, age"
Matamata-Piako District,40100,2038,"Total people, age"
Hamilton City,217600,2038,"Total people, age"
Waipa District,67400,2038,"Total people, age"
Otorohanga District,11450,2038,"Total people, age"
South Waikato District,28000,2038,"Total people, age"
Waitomo District,9740,2038,"Total people, age"
Taupo District,44900,2038,"Total people, age"
Western Bay of Plenty District,70200,2038,"Total people, age"
Tauranga City,190900,2038,"Total people, age"
Rotorua District,81100,2038,"Total people, age"
Whakatane District,39500,2038,"Total people, age"
Kawerau District,7900,2038,"Total people, age"
Opotiki District,11150,2038,"Total people, age"
Gisborne District,54500,2038,"Total people, age"
Wairoa District,9680,2038,"Total people, age"
Hastings District,101100,2038,"Total people, age"
Napier City,71700,2038,"Total people, age"
Central Hawke's Bay District,17250,2038,"Total people, age"
New Plymouth District,95500,2038,"Total people, age"
Stratford District,10600,2038,"Total people, age"
South Taranaki District,30100,2038,"Total people, age"
Ruapehu District,12450,2038,"Total people, age"
Whanganui District,51100,2038,"Total people, age"
Rangitikei District,17050,2038,"Total people, age"
Manawatu District,36900,2038,"Total people, age"
Palmerston North City,97400,2038,"Total people, age"
Tararua District,19600,2038,"Total people, age"
Horowhenua District,40800,2038,"Total people, age"
Kapiti Coast District,61200,2038,"Total people, age"
Porirua City,67800,2038,"Total people, age"
Upper Hutt City,52700,2038,"Total people, age"
Lower Hutt City,120900,2038,"Total people, age"
Wellington City,228000,2038,"Total people, age"
Masterton District,31700,2038,"Total people, age"
Carterton District,11300,2038,"Total people, age"
South Wairarapa District,12950,2038,"Total people, age"
Tasman District,66100,2038,"Total people, age"
Nelson City,57300,2038,"Total people, age"
Marlborough District,54700,2038,"Total people, age"
Kaikoura District,4180,2038,"Total people, age"
Buller District,9020,2038,"Total people, age"
Grey District,14050,2038,"Total people, age"
Westland District,8750,2038,"Total people, age"
Hurunui District,14700,2038,"Total people, age"
Waimakariri District,80500,2038,"Total people, age"
Christchurch City,426400,2038,"Total people, age"
Selwyn District,107500,2038,"Total people, age"
Ashburton District,39800,2038,"Total people, age"
Timaru District,49800,2038,"Total people, age"
Mackenzie District,6290,2038,"Total people, age"
Waimate District,8650,2038,"Total people, age"
Chatham Islands Territory,880,2038,"Total people, age"
Waitaki District,24900,2038,"Total people, age"
Central Otago District,30400,2038,"Total people, age"
Queenstown-Lakes District,62400,2038,"Total people, age"
Dunedin City,136200,2038,"Total people, age"
Clutha District,19150,2038,"Total people, age"
Southland District,33900,2038,"Total people, age"
Gore District,12950,2038,"Total people, age"
Invercargill City,59200,2038,"Total people, age"
Far North District,84200,2043,"Total people, age"
Whangarei District,118900,2043,"Total people, age"
Kaipara District,32900,2043,"Total people, age"
Auckland,2034100,2043,"Total people, age"
Thames-Coromandel District,34000,2043,"Total people, age"
Hauraki District,23600,2043,"Total people, age"
Waikato District,124000,2043,"Total people, age"
Matamata-Piako District,40400,2043,"Total people, age"
Hamilton City,229100,2043,"Total people, age"
Waipa District,68900,2043,"Total people, age"
Otorohanga District,11600,2043,"Total people, age"
South Waikato District,28400,2043,"Total people, age"
Waitomo District,9630,2043,"Total people, age"
Taupo District,45400,2043,"Total people, age"
Western Bay of Plenty District,72200,2043,"Total people, age"
Tauranga City,199200,2043,"Total people, age"
Rotorua District,81800,2043,"Total people, age"
Whakatane District,39400,2043,"Total people, age"
Kawerau District,7780,2043,"Total people, age"
Opotiki District,11100,2043,"Total people, age"
Gisborne District,54700,2043,"Total people, age"
Wairoa District,9710,2043,"Total people, age"
Hastings District,103800,2043,"Total people, age"
Napier City,72600,2043,"Total people, age"
Central Hawke's Bay District,17550,2043,"Total people, age"
New Plymouth District,97200,2043,"Total people, age"
Stratford District,10550,2043,"Total people, age"
South Taranaki District,29900,2043,"Total people, age"
Ruapehu District,12100,2043,"Total people, age"
Whanganui District,51200,2043,"Total people, age"
Rangitikei District,17150,2043,"Total people, age"
Manawatu District,37300,2043,"Total people, age"
Palmerston North City,99000,2043,"Total people, age"
Tararua District,19550,2043,"Total people, age"
Horowhenua District,41500,2043,"Total people, age"
Kapiti Coast District,61800,2043,"Total people, age"
Porirua City,69100,2043,"Total people, age"
Upper Hutt City,53600,2043,"Total people, age"
Lower Hutt City,122600,2043,"Total people, age"
Wellington City,233100,2043,"Total people, age"
Masterton District,31900,2043,"Total people, age"
Carterton District,11500,2043,"Total people, age"
South Wairarapa District,13150,2043,"Total people, age"
Tasman District,67200,2043,"Total people, age"
Nelson City,57500,2043,"Total people, age"
Marlborough District,55100,2043,"Total people, age"
Kaikoura District,4120,2043,"Total people, age"
Buller District,8620,2043,"Total people, age"
Grey District,13800,2043,"Total people, age"
Westland District,8580,2043,"Total people, age"
Hurunui District,14850,2043,"Total people, age"
Waimakariri District,83500,2043,"Total people, age"
Christchurch City,437600,2043,"Total people, age"
Selwyn District,114600,2043,"Total people, age"
Ashburton District,40600,2043,"Total people, age"
Timaru District,49600,2043,"Total people, age"
Mackenzie District,6460,2043,"Total people, age"
Waimate District,8700,2043,"Total people, age"
Chatham Islands Territory,880,2043,"Total people, age"
Waitaki District,24900,2043,"Total people, age"
Central Otago District,31500,2043,"Total people, age"
Queenstown-Lakes District,66000,2043,"Total people, age"
Dunedin City,137000,2043,"Total people, age"
Clutha District,19100,2043,"Total people, age"
Southland District,34000,2043,"Total people, age"
Gore District,12800,2043,"Total people, age"
Invercargill City,59600,2043,"Total people, age"
Far North District,85600,2048,"Total people, age"
Whangarei District,122000,2048,"Total people, age"
Kaipara District,33700,2048,"Total people, age"
Auckland,2114000,2048,"Total people, age"
Thames-Coromandel District,33400,2048,"Total people, age"
Hauraki District,23400,2048,"Total people, age"
Waikato District,131300,2048,"Total people, age"
Matamata-Piako District,40600,2048,"Total people, age"
Hamilton City,240600,2048,"Total people, age"
Waipa District,70200,2048,"Total people, age"
Otorohanga District,11700,2048,"Total people, age"
South Waikato District,28700,2048,"Total people, age"
Waitomo District,9450,2048,"Total people, age"
Taupo District,45700,2048,"Total people, age"
Western Bay of Plenty District,73900,2048,"Total people, age"
Tauranga City,207400,2048,"Total people, age"
Rotorua District,82200,2048,"Total people, age"
Whakatane District,39100,2048,"Total people, age"
Kawerau District,7620,2048,"Total people, age"
Opotiki District,11050,2048,"Total people, age"
Gisborne District,54700,2048,"Total people, age"
Wairoa District,9690,2048,"Total people, age"
Hastings District,106200,2048,"Total people, age"
Napier City,73400,2048,"Total people, age"
Central Hawke's Bay District,17700,2048,"Total people, age"
New Plymouth District,98600,2048,"Total people, age"
Stratford District,10450,2048,"Total people, age"
