Age,"Total people, age",0-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95 years and over
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
"Total, New Zealand",5441000,919000,346900,353900,328600,357800,398800,384000,336300,301100,321200,316500,312000,266500,210900,159100,84300,34300,10100
