Region,Population,Year,Age,65 and over,Generation
Wairoa District,660,2018,0-4 Years,False,Other
South Waikato District,1900,2013,0-4 Years,False,Other
Taupo District,2570,2013,0-4 Years,False,Other
Tasman District,2860,2013,0-4 Years,False,Other
South Wairarapa District,650,2013,0-4 Years,False,Other
Carterton District,550,2013,0-4 Years,False,Other
Masterton District,1540,2013,0-4 Years,False,Other
Wellington City,12090,2013,0-4 Years,False,Other
Lower Hutt City,7460,2013,0-4 Years,False,Other
Upper Hutt City,2840,2013,0-4 Years,False,Other
Porirua City,4630,2013,0-4 Years,False,Other
Kapiti Coast District,3010,2013,0-4 Years,False,Other
Horowhenua District,1930,2013,0-4 Years,False,Other
Tararua District,1290,2013,0-4 Years,False,Other
Palmerston North City,5880,2013,0-4 Years,False,Other
Manawatu District,1900,2013,0-4 Years,False,Other
Rangitikei District,1080,2013,0-4 Years,False,Other
Waitomo District,750,2013,0-4 Years,False,Other
Whanganui District,2970,2013,0-4 Years,False,Other
South Taranaki District,2180,2013,0-4 Years,False,Other
Stratford District,710,2013,0-4 Years,False,Other
New Plymouth District,5420,2013,0-4 Years,False,Other
Central Hawke's Bay District,990,2013,0-4 Years,False,Other
Napier City,4080,2013,0-4 Years,False,Other
Hastings District,5790,2013,0-4 Years,False,Other
Wairoa District,730,2013,0-4 Years,False,Other
Gisborne District,3880,2013,0-4 Years,False,Other
Opotiki District,630,2013,0-4 Years,False,Other
Kawerau District,600,2013,0-4 Years,False,Other
Whakatane District,2530,2013,0-4 Years,False,Other
Rotorua District,5270,2013,0-4 Years,False,Other
Tauranga City,8420,2013,0-4 Years,False,Other
Western Bay of Plenty District,2770,2013,0-4 Years,False,Other
Ruapehu District,1070,2013,0-4 Years,False,Other
Napier City,3900,2018,0-4 Years,False,Other
Central Hawke's Bay District,980,2018,0-4 Years,False,Other
New Plymouth District,5280,2018,0-4 Years,False,Other
Tararua District,1190,2023,0-4 Years,False,Other
Palmerston North City,5600,2023,0-4 Years,False,Other
Manawatu District,2060,2023,0-4 Years,False,Other
