Region,Population,Year,Age,65 and over,Generation
Christchurch City,20810,2013,10-14 Years,False,Gen Z
Selwyn District,3520,2013,10-14 Years,False,Gen Z
Clutha District,1290,2013,10-14 Years,False,Gen Z
Ashburton District,2110,2013,10-14 Years,False,Gen Z
Mackenzie District,290,2013,10-14 Years,False,Gen Z
Waimate District,450,2013,10-14 Years,False,Gen Z
Chatham Islands Territory,30,2013,10-14 Years,False,Gen Z
Waitaki District,1360,2013,10-14 Years,False,Gen Z
Central Otago District,1160,2013,10-14 Years,False,Gen Z
Queenstown-Lakes District,1530,2013,10-14 Years,False,Gen Z
Timaru District,2920,2013,10-14 Years,False,Gen Z
Waitakere Ranges Local Board Area,3760,2018,10-14 Years,False,Gen Z
Wairoa District,660,2018,10-14 Years,False,Gen Z
Waiheke Local Board Area,530,2018,10-14 Years,False,Gen Z
Grey District,880,2013,10-14 Years,False,Gen Z
Gisborne District,3910,2018,10-14 Years,False,Gen Z
Opotiki District,690,2018,10-14 Years,False,Gen Z
Kawerau District,590,2018,10-14 Years,False,Gen Z
Whakatane District,2850,2018,10-14 Years,False,Gen Z
Rotorua District,5520,2018,10-14 Years,False,Gen Z
Tauranga City,9430,2018,10-14 Years,False,Gen Z
Western Bay of Plenty District,3450,2018,10-14 Years,False,Gen Z
Taupo District,2590,2018,10-14 Years,False,Gen Z
Waitomo District,700,2018,10-14 Years,False,Gen Z
South Waikato District,1800,2018,10-14 Years,False,Gen Z
Otorohanga District,760,2018,10-14 Years,False,Gen Z
Waipa District,3910,2018,10-14 Years,False,Gen Z
Hamilton City,11070,2018,10-14 Years,False,Gen Z
Aotea/great Barrier Local Board Area,35,2018,10-14 Years,False,Gen Z
Matamata-Piako District,2360,2018,10-14 Years,False,Gen Z
Hauraki District,1270,2018,10-14 Years,False,Gen Z
Thames-Coromandel District,1590,2018,10-14 Years,False,Gen Z
Franklin Local Board Area,5520,2018,10-14 Years,False,Gen Z
Papakura Local Board Area,4170,2018,10-14 Years,False,Gen Z
Manurewa Local Board Area,7900,2018,10-14 Years,False,Gen Z
Otara-Papatoetoe Local Board Area,6640,2018,10-14 Years,False,Gen Z
Mangere-Otahuhu Local Board Area,6880,2018,10-14 Years,False,Gen Z
Howick Local Board Area,9780,2018,10-14 Years,False,Gen Z
Maungakiekie-Tamaki Local Board Area,4500,2018,10-14 Years,False,Gen Z
Orakei Local Board Area,5860,2018,10-14 Years,False,Gen Z
Puketapapa Local Board Area,3320,2018,10-14 Years,False,Gen Z
Albert-Eden Local Board Area,6280,2018,10-14 Years,False,Gen Z
Whau Local Board Area,4690,2018,10-14 Years,False,Gen Z
Waitemata Local Board Area,2630,2018,10-14 Years,False,Gen Z
Waikato District,6260,2018,10-14 Years,False,Gen Z
Buller District,640,2013,10-14 Years,False,Gen Z
Western Bay of Plenty District,3280,2013,10-14 Years,False,Gen Z
Marlborough District,2580,2013,10-14 Years,False,Gen Z
Waipa District,3610,2013,10-14 Years,False,Gen Z
Hamilton City,9860,2013,10-14 Years,False,Gen Z
Matamata-Piako District,2370,2013,10-14 Years,False,Gen Z
Waikato District,5480,2013,10-14 Years,False,Gen Z
Hauraki District,1280,2013,10-14 Years,False,Gen Z
Thames-Coromandel District,1580,2013,10-14 Years,False,Gen Z
Franklin Local Board Area,5280,2013,10-14 Years,False,Gen Z
Papakura Local Board Area,3470,2013,10-14 Years,False,Gen Z
Manurewa Local Board Area,7110,2013,10-14 Years,False,Gen Z
Otara-Papatoetoe Local Board Area,6550,2013,10-14 Years,False,Gen Z
Mangere-Otahuhu Local Board Area,6770,2013,10-14 Years,False,Gen Z
Howick Local Board Area,9170,2013,10-14 Years,False,Gen Z
Maungakiekie-Tamaki Local Board Area,4380,2013,10-14 Years,False,Gen Z
Orakei Local Board Area,5440,2013,10-14 Years,False,Gen Z
Otorohanga District,670,2013,10-14 Years,False,Gen Z
Puketapapa Local Board Area,3360,2013,10-14 Years,False,Gen Z
Whau Local Board Area,4490,2013,10-14 Years,False,Gen Z
Waitemata Local Board Area,2410,2013,10-14 Years,False,Gen Z
Waiheke Local Board Area,450,2013,10-14 Years,False,Gen Z
Aotea/great Barrier Local Board Area,45,2013,10-14 Years,False,Gen Z
Waitakere Ranges Local Board Area,3630,2013,10-14 Years,False,Gen Z
Henderson-Massey Local Board Area,7770,2013,10-14 Years,False,Gen Z
Devonport-Takapuna Local Board Area,3730,2013,10-14 Years,False,Gen Z
Kaipatiki Local Board Area,4800,2013,10-14 Years,False,Gen Z
Upper Harbour Local Board Area,3900,2013,10-14 Years,False,Gen Z
Hibiscus And Bays Local Board Area,6290,2013,10-14 Years,False,Gen Z
Rodney Local Board Area,4260,2013,10-14 Years,False,Gen Z
Auckland,99570,2013,10-14 Years,False,Gen Z
Kaipara District,1450,2013,10-14 Years,False,Gen Z
Whangarei District,5940,2013,10-14 Years,False,Gen Z
Albert-Eden Local Board Area,6280,2013,10-14 Years,False,Gen Z
Kaikoura District,200,2013,10-14 Years,False,Gen Z
South Waikato District,1820,2013,10-14 Years,False,Gen Z
Taupo District,2390,2013,10-14 Years,False,Gen Z
Nelson City,3110,2013,10-14 Years,False,Gen Z
Tasman District,3480,2013,10-14 Years,False,Gen Z
South Wairarapa District,600,2013,10-14 Years,False,Gen Z
Carterton District,560,2013,10-14 Years,False,Gen Z
Masterton District,1670,2013,10-14 Years,False,Gen Z
Wellington City,10770,2013,10-14 Years,False,Gen Z
Lower Hutt City,6970,2013,10-14 Years,False,Gen Z
Upper Hutt City,2830,2013,10-14 Years,False,Gen Z
Porirua City,4150,2013,10-14 Years,False,Gen Z
Kapiti Coast District,3210,2013,10-14 Years,False,Gen Z
Horowhenua District,2090,2013,10-14 Years,False,Gen Z
Tararua District,1240,2013,10-14 Years,False,Gen Z
Palmerston North City,5390,2013,10-14 Years,False,Gen Z
Manawatu District,2120,2013,10-14 Years,False,Gen Z
Waitomo District,760,2013,10-14 Years,False,Gen Z
Rangitikei District,1000,2013,10-14 Years,False,Gen Z
Ruapehu District,850,2013,10-14 Years,False,Gen Z
South Taranaki District,2070,2013,10-14 Years,False,Gen Z
Stratford District,680,2013,10-14 Years,False,Gen Z
New Plymouth District,5110,2013,10-14 Years,False,Gen Z
Central Hawke's Bay District,890,2013,10-14 Years,False,Gen Z
Napier City,4060,2013,10-14 Years,False,Gen Z
Hastings District,5970,2013,10-14 Years,False,Gen Z
Wairoa District,660,2013,10-14 Years,False,Gen Z
Gisborne District,3860,2013,10-14 Years,False,Gen Z
Opotiki District,680,2013,10-14 Years,False,Gen Z
Kawerau District,570,2013,10-14 Years,False,Gen Z
Whakatane District,2730,2013,10-14 Years,False,Gen Z
Rotorua District,5350,2013,10-14 Years,False,Gen Z
Tauranga City,8140,2013,10-14 Years,False,Gen Z
Whanganui District,3040,2013,10-14 Years,False,Gen Z
Napier City,4230,2018,10-14 Years,False,Gen Z
Area Outside Territorial Authority,0,2023,10-14 Years,False,Other
New Plymouth District,5650,2018,10-14 Years,False,Gen Z
Tararua District,1310,2023,10-14 Years,False,Other
Palmerston North City,6000,2023,10-14 Years,False,Other
Manawatu District,2440,2023,10-14 Years,False,Other
Rangitikei District,1080,2023,10-14 Years,False,Other
Whanganui District,3420,2023,10-14 Years,False,Other
Ruapehu District,950,2023,10-14 Years,False,Other
South Taranaki District,2260,2023,10-14 Years,False,Other
Stratford District,770,2023,10-14 Years,False,Other
New Plymouth District,6210,2023,10-14 Years,False,Other
Central Hawke's Bay District,1130,2023,10-14 Years,False,Other
Napier City,4470,2023,10-14 Years,False,Other
Hastings District,6810,2023,10-14 Years,False,Other
Wairoa District,740,2023,10-14 Years,False,Other
Gisborne District,4060,2023,10-14 Years,False,Other
Horowhenua District,2430,2023,10-14 Years,False,Other
Opotiki District,730,2023,10-14 Years,False,Other
Whakatane District,2910,2023,10-14 Years,False,Other
Rotorua District,6020,2023,10-14 Years,False,Other
Tauranga City,10830,2023,10-14 Years,False,Other
Western Bay of Plenty District,3790,2023,10-14 Years,False,Other
Taupo District,2690,2023,10-14 Years,False,Other
Waitomo District,680,2023,10-14 Years,False,Other
South Waikato District,1980,2023,10-14 Years,False,Other
Otorohanga District,810,2023,10-14 Years,False,Other
Waipa District,4370,2023,10-14 Years,False,Other
Hamilton City,12880,2023,10-14 Years,False,Other
Matamata-Piako District,2420,2023,10-14 Years,False,Other
Waikato District,7140,2023,10-14 Years,False,Other
Hauraki District,1450,2023,10-14 Years,False,Other
Thames-Coromandel District,1710,2023,10-14 Years,False,Other
Kawerau District,560,2023,10-14 Years,False,Other
Franklin Local Board Area,6090,2023,10-14 Years,False,Other
Kapiti Coast District,3490,2023,10-14 Years,False,Other
Upper Hutt City,3210,2023,10-14 Years,False,Other
Far North District,4710,2013,10-14 Years,False,Gen Z
Invercargill City,3920,2023,10-14 Years,False,Other
Gore District,850,2023,10-14 Years,False,Other
Southland District,2300,2023,10-14 Years,False,Other
Clutha District,1150,2023,10-14 Years,False,Other
Dunedin City,7450,2023,10-14 Years,False,Other
Queenstown-Lakes District,2690,2023,10-14 Years,False,Other
Central Otago District,1400,2023,10-14 Years,False,Other
Waitaki District,1550,2023,10-14 Years,False,Other
Chatham Islands Territory,45,2023,10-14 Years,False,Other
Waimate District,460,2023,10-14 Years,False,Other
Mackenzie District,280,2023,10-14 Years,False,Other
Timaru District,3110,2023,10-14 Years,False,Other
Ashburton District,2430,2023,10-14 Years,False,Other
Porirua City,4820,2023,10-14 Years,False,Other
Selwyn District,5870,2023,10-14 Years,False,Other
Waimakariri District,4380,2023,10-14 Years,False,Other
Hurunui District,890,2023,10-14 Years,False,Other
Westland District,450,2023,10-14 Years,False,Other
Grey District,990,2023,10-14 Years,False,Other
Buller District,490,2023,10-14 Years,False,Other
Kaikoura District,240,2023,10-14 Years,False,Other
Marlborough District,3000,2023,10-14 Years,False,Other
Nelson City,3430,2023,10-14 Years,False,Other
Tasman District,3660,2023,10-14 Years,False,Other
South Wairarapa District,700,2023,10-14 Years,False,Other
Carterton District,690,2023,10-14 Years,False,Other
Masterton District,1820,2023,10-14 Years,False,Other
Wellington City,11420,2023,10-14 Years,False,Other
Lower Hutt City,7450,2023,10-14 Years,False,Other
Christchurch City,22420,2023,10-14 Years,False,Other
Central Hawke's Bay District,980,2018,10-14 Years,False,Gen Z
Papakura Local Board Area,5360,2023,10-14 Years,False,Other
Otara-Papatoetoe Local Board Area,7680,2023,10-14 Years,False,Other
Timaru District,2880,2018,10-14 Years,False,Gen Z
Ashburton District,2220,2018,10-14 Years,False,Gen Z
Selwyn District,4850,2018,10-14 Years,False,Gen Z
Christchurch City,21430,2018,10-14 Years,False,Gen Z
Waimakariri District,4240,2018,10-14 Years,False,Gen Z
Hurunui District,840,2018,10-14 Years,False,Gen Z
Westland District,490,2018,10-14 Years,False,Gen Z
Grey District,850,2018,10-14 Years,False,Gen Z
Buller District,560,2018,10-14 Years,False,Gen Z
Kaikoura District,200,2018,10-14 Years,False,Gen Z
Marlborough District,2770,2018,10-14 Years,False,Gen Z
Nelson City,3200,2018,10-14 Years,False,Gen Z
Tasman District,3750,2018,10-14 Years,False,Gen Z
South Wairarapa District,660,2018,10-14 Years,False,Gen Z
Mackenzie District,280,2018,10-14 Years,False,Gen Z
Carterton District,640,2018,10-14 Years,False,Gen Z
Wellington City,11300,2018,10-14 Years,False,Gen Z
Lower Hutt City,6900,2018,10-14 Years,False,Gen Z
Upper Hutt City,2850,2018,10-14 Years,False,Gen Z
Porirua City,4370,2018,10-14 Years,False,Gen Z
Kapiti Coast District,3320,2018,10-14 Years,False,Gen Z
Horowhenua District,2170,2018,10-14 Years,False,Gen Z
Tararua District,1360,2018,10-14 Years,False,Gen Z
Palmerston North City,5540,2018,10-14 Years,False,Gen Z
Manawatu District,2180,2018,10-14 Years,False,Gen Z
Rangitikei District,1050,2018,10-14 Years,False,Gen Z
Whanganui District,3080,2018,10-14 Years,False,Gen Z
Ruapehu District,850,2018,10-14 Years,False,Gen Z
South Taranaki District,2030,2018,10-14 Years,False,Gen Z
Stratford District,670,2018,10-14 Years,False,Gen Z
Masterton District,1740,2018,10-14 Years,False,Gen Z
Manurewa Local Board Area,9300,2023,10-14 Years,False,Other
Waimate District,480,2018,10-14 Years,False,Gen Z
Waitaki District,1460,2018,10-14 Years,False,Gen Z
Mangere-Otahuhu Local Board Area,7830,2023,10-14 Years,False,Other
Howick Local Board Area,11040,2023,10-14 Years,False,Other
Maungakiekie-Tamaki Local Board Area,4980,2023,10-14 Years,False,Other
Orakei Local Board Area,5700,2023,10-14 Years,False,Other
Puketapapa Local Board Area,3550,2023,10-14 Years,False,Other
Albert-Eden Local Board Area,5990,2023,10-14 Years,False,Other
Whau Local Board Area,5350,2023,10-14 Years,False,Other
Waitemata Local Board Area,2550,2023,10-14 Years,False,Other
Waiheke Local Board Area,440,2023,10-14 Years,False,Other
Aotea/great Barrier Local Board Area,50,2023,10-14 Years,False,Other
Waitakere Ranges Local Board Area,4020,2023,10-14 Years,False,Other
Henderson-Massey Local Board Area,9280,2023,10-14 Years,False,Other
Devonport-Takapuna Local Board Area,3990,2023,10-14 Years,False,Other
Kaipatiki Local Board Area,5400,2023,10-14 Years,False,Other
Chatham Islands Territory,35,2018,10-14 Years,False,Gen Z
Upper Harbour Local Board Area,4610,2023,10-14 Years,False,Other
Rodney Local Board Area,5190,2023,10-14 Years,False,Other
Auckland,116650,2023,10-14 Years,False,Other
Kaipara District,1670,2023,10-14 Years,False,Other
Whangarei District,7220,2023,10-14 Years,False,Other
Far North District,5480,2023,10-14 Years,False,Other
"Total, New Zealand",343130,2023,10-14 Years,False,Other
Area Outside Territorial Authority,0,2018,10-14 Years,False,Gen Z
Invercargill City,3680,2018,10-14 Years,False,Gen Z
Gore District,890,2018,10-14 Years,False,Gen Z
Southland District,2220,2018,10-14 Years,False,Gen Z
Clutha District,1170,2018,10-14 Years,False,Gen Z
Dunedin City,6980,2018,10-14 Years,False,Gen Z
Queenstown-Lakes District,2060,2018,10-14 Years,False,Gen Z
Central Otago District,1250,2018,10-14 Years,False,Gen Z
Hibiscus And Bays Local Board Area,8250,2023,10-14 Years,False,Other
"Total, New Zealand",296770,2013,10-14 Years,False,Gen Z
Hastings District,6220,2001,10-14 Years,False,Millennial
Invercargill City,3690,2006,10-14 Years,False,Millennial
Upper Harbour Local Board Area,2690,2001,10-14 Years,False,Millennial
Hibiscus And Bays Local Board Area,5810,2001,10-14 Years,False,Millennial
Rodney Local Board Area,3710,2001,10-14 Years,False,Millennial
Auckland,92010,2001,10-14 Years,False,Millennial
Kaipara District,1620,2001,10-14 Years,False,Millennial
Whangarei District,6050,2001,10-14 Years,False,Millennial
Far North District,5340,2001,10-14 Years,False,Millennial
"Total, New Zealand",300740,2001,10-14 Years,False,Millennial
Area Outside Territorial Authority,5,1996,10-14 Years,False,Millennial
Invercargill City,4240,1996,10-14 Years,False,Millennial
Gore District,1050,1996,10-14 Years,False,Millennial
Southland District,2680,1996,10-14 Years,False,Millennial
Clutha District,1380,1996,10-14 Years,False,Millennial
Dunedin City,7510,1996,10-14 Years,False,Millennial
Kaipatiki Local Board Area,5450,2001,10-14 Years,False,Millennial
Queenstown-Lakes District,750,1996,10-14 Years,False,Millennial
Waitaki District,1580,1996,10-14 Years,False,Millennial
Chatham Islands Territory,60,1996,10-14 Years,False,Millennial
Waimate District,590,1996,10-14 Years,False,Millennial
Mackenzie District,290,1996,10-14 Years,False,Millennial
Timaru District,3100,1996,10-14 Years,False,Millennial
Ashburton District,1810,1996,10-14 Years,False,Millennial
Selwyn District,1900,1996,10-14 Years,False,Millennial
Christchurch City,20250,1996,10-14 Years,False,Millennial
Waimakariri District,2390,1996,10-14 Years,False,Millennial
Hurunui District,720,1996,10-14 Years,False,Millennial
Westland District,620,1996,10-14 Years,False,Millennial
Grey District,1020,1996,10-14 Years,False,Millennial
Buller District,830,1996,10-14 Years,False,Millennial
Kaikoura District,280,1996,10-14 Years,False,Millennial
Central Otago District,1120,1996,10-14 Years,False,Millennial
Marlborough District,2890,1996,10-14 Years,False,Millennial
Devonport-Takapuna Local Board Area,3530,2001,10-14 Years,False,Millennial
Waitakere Ranges Local Board Area,3840,2001,10-14 Years,False,Millennial
Opotiki District,960,2001,10-14 Years,False,Millennial
Kawerau District,780,2001,10-14 Years,False,Millennial
Whakatane District,3250,2001,10-14 Years,False,Millennial
Rotorua District,5840,2001,10-14 Years,False,Millennial
Tauranga City,6990,2001,10-14 Years,False,Millennial
Western Bay of Plenty District,3460,2001,10-14 Years,False,Millennial
Taupo District,2660,2001,10-14 Years,False,Millennial
Waitomo District,860,2001,10-14 Years,False,Millennial
South Waikato District,2340,2001,10-14 Years,False,Millennial
Otorohanga District,860,2001,10-14 Years,False,Millennial
Waipa District,3450,2001,10-14 Years,False,Millennial
Hamilton City,9160,2001,10-14 Years,False,Millennial
Matamata-Piako District,2640,2001,10-14 Years,False,Millennial
Waikato District,4950,2001,10-14 Years,False,Millennial
Henderson-Massey Local Board Area,7390,2001,10-14 Years,False,Millennial
Hauraki District,1660,2001,10-14 Years,False,Millennial
Franklin Local Board Area,4490,2001,10-14 Years,False,Millennial
Papakura Local Board Area,3260,2001,10-14 Years,False,Millennial
Manurewa Local Board Area,6170,2001,10-14 Years,False,Millennial
Otara-Papatoetoe Local Board Area,6300,2001,10-14 Years,False,Millennial
Mangere-Otahuhu Local Board Area,6170,2001,10-14 Years,False,Millennial
Howick Local Board Area,7740,2001,10-14 Years,False,Millennial
Maungakiekie-Tamaki Local Board Area,4470,2001,10-14 Years,False,Millennial
Orakei Local Board Area,4640,2001,10-14 Years,False,Millennial
Puketapapa Local Board Area,3670,2001,10-14 Years,False,Millennial
Albert-Eden Local Board Area,5580,2001,10-14 Years,False,Millennial
Whau Local Board Area,4580,2001,10-14 Years,False,Millennial
Waitemata Local Board Area,1910,2001,10-14 Years,False,Millennial
Waiheke Local Board Area,540,2001,10-14 Years,False,Millennial
Aotea/great Barrier Local Board Area,85,2001,10-14 Years,False,Millennial
Thames-Coromandel District,1820,2001,10-14 Years,False,Millennial
Gisborne District,4310,2001,10-14 Years,False,Millennial
Nelson City,2700,1996,10-14 Years,False,Millennial
South Wairarapa District,690,1996,10-14 Years,False,Millennial
Matamata-Piako District,2510,1996,10-14 Years,False,Millennial
Waikato District,4620,1996,10-14 Years,False,Millennial
Hauraki District,1610,1996,10-14 Years,False,Millennial
Thames-Coromandel District,1630,1996,10-14 Years,False,Millennial
Franklin Local Board Area,3770,1996,10-14 Years,False,Millennial
Papakura Local Board Area,2790,1996,10-14 Years,False,Millennial
Manurewa Local Board Area,4820,1996,10-14 Years,False,Millennial
Otara-Papatoetoe Local Board Area,5320,1996,10-14 Years,False,Millennial
Mangere-Otahuhu Local Board Area,5100,1996,10-14 Years,False,Millennial
Howick Local Board Area,6160,1996,10-14 Years,False,Millennial
Maungakiekie-Tamaki Local Board Area,3870,1996,10-14 Years,False,Millennial
Orakei Local Board Area,4250,1996,10-14 Years,False,Millennial
Puketapapa Local Board Area,3220,1996,10-14 Years,False,Millennial
Albert-Eden Local Board Area,4910,1996,10-14 Years,False,Millennial
Hamilton City,7920,1996,10-14 Years,False,Millennial
Whau Local Board Area,3800,1996,10-14 Years,False,Millennial
Waiheke Local Board Area,410,1996,10-14 Years,False,Millennial
Aotea/great Barrier Local Board Area,85,1996,10-14 Years,False,Millennial
Waitakere Ranges Local Board Area,3180,1996,10-14 Years,False,Millennial
Henderson-Massey Local Board Area,5960,1996,10-14 Years,False,Millennial
Devonport-Takapuna Local Board Area,3150,1996,10-14 Years,False,Millennial
Kaipatiki Local Board Area,4790,1996,10-14 Years,False,Millennial
Upper Harbour Local Board Area,1700,1996,10-14 Years,False,Millennial
Hibiscus And Bays Local Board Area,4870,1996,10-14 Years,False,Millennial
Rodney Local Board Area,3000,1996,10-14 Years,False,Millennial
Auckland,76980,1996,10-14 Years,False,Millennial
Kaipara District,1530,1996,10-14 Years,False,Millennial
Whangarei District,5470,1996,10-14 Years,False,Millennial
Far North District,4910,1996,10-14 Years,False,Millennial
"Total, New Zealand",269000,1996,10-14 Years,False,Millennial
Waitemata Local Board Area,1830,1996,10-14 Years,False,Millennial
Tasman District,2990,1996,10-14 Years,False,Millennial
Waipa District,3160,1996,10-14 Years,False,Millennial
South Waikato District,2310,1996,10-14 Years,False,Millennial
Carterton District,580,1996,10-14 Years,False,Millennial
Masterton District,1980,1996,10-14 Years,False,Millennial
Wellington City,9120,1996,10-14 Years,False,Millennial
Lower Hutt City,6990,1996,10-14 Years,False,Millennial
Upper Hutt City,2790,1996,10-14 Years,False,Millennial
Porirua City,3930,1996,10-14 Years,False,Millennial
Kapiti Coast District,2640,1996,10-14 Years,False,Millennial
Horowhenua District,2280,1996,10-14 Years,False,Millennial
Tararua District,1680,1996,10-14 Years,False,Millennial
Palmerston North City,5010,1996,10-14 Years,False,Millennial
Manawatu District,2310,1996,10-14 Years,False,Millennial
Rangitikei District,1420,1996,10-14 Years,False,Millennial
Whanganui District,3610,1996,10-14 Years,False,Millennial
Ruapehu District,1410,1996,10-14 Years,False,Millennial
Otorohanga District,860,1996,10-14 Years,False,Millennial
South Taranaki District,2550,1996,10-14 Years,False,Millennial
New Plymouth District,5410,1996,10-14 Years,False,Millennial
Central Hawke's Bay District,1220,1996,10-14 Years,False,Millennial
Napier City,3860,1996,10-14 Years,False,Millennial
Hastings District,5430,1996,10-14 Years,False,Millennial
Wairoa District,980,1996,10-14 Years,False,Millennial
Gisborne District,4100,1996,10-14 Years,False,Millennial
Opotiki District,840,1996,10-14 Years,False,Millennial
Kawerau District,770,1996,10-14 Years,False,Millennial
Whakatane District,2990,1996,10-14 Years,False,Millennial
Rotorua District,5430,1996,10-14 Years,False,Millennial
Tauranga City,5630,1996,10-14 Years,False,Millennial
Western Bay of Plenty District,2840,1996,10-14 Years,False,Millennial
Taupo District,2540,1996,10-14 Years,False,Millennial
Waitomo District,890,1996,10-14 Years,False,Millennial
Stratford District,800,1996,10-14 Years,False,Millennial
Wairoa District,890,2001,10-14 Years,False,Millennial
Area Outside Territorial Authority,0,2006,10-14 Years,False,Millennial
Napier City,4330,2001,10-14 Years,False,Millennial
Rangitikei District,1240,2006,10-14 Years,False,Millennial
Whanganui District,3530,2006,10-14 Years,False,Millennial
Ruapehu District,1240,2006,10-14 Years,False,Millennial
South Taranaki District,2220,2006,10-14 Years,False,Millennial
Stratford District,780,2006,10-14 Years,False,Millennial
New Plymouth District,5400,2006,10-14 Years,False,Millennial
Central Hawke's Bay District,1080,2006,10-14 Years,False,Millennial
Napier City,4280,2006,10-14 Years,False,Millennial
Hastings District,6200,2006,10-14 Years,False,Millennial
Wairoa District,800,2006,10-14 Years,False,Millennial
Gisborne District,4190,2006,10-14 Years,False,Millennial
Opotiki District,950,2006,10-14 Years,False,Millennial
Kawerau District,730,2006,10-14 Years,False,Millennial
Whakatane District,3230,2006,10-14 Years,False,Millennial
Rotorua District,5870,2006,10-14 Years,False,Millennial
Tauranga City,7570,2006,10-14 Years,False,Millennial
Western Bay of Plenty District,3430,2006,10-14 Years,False,Millennial
Taupo District,2570,2006,10-14 Years,False,Millennial
Waitomo District,860,2006,10-14 Years,False,Millennial
South Waikato District,2250,2006,10-14 Years,False,Millennial
Otorohanga District,800,2006,10-14 Years,False,Millennial
Waipa District,3550,2006,10-14 Years,False,Millennial
Hamilton City,9690,2006,10-14 Years,False,Millennial
Matamata-Piako District,2540,2006,10-14 Years,False,Millennial
Waikato District,5220,2006,10-14 Years,False,Millennial
Hauraki District,1590,2006,10-14 Years,False,Millennial
Thames-Coromandel District,1690,2006,10-14 Years,False,Millennial
Franklin Local Board Area,5150,2006,10-14 Years,False,Millennial
Papakura Local Board Area,3650,2006,10-14 Years,False,Millennial
Manawatu District,2330,2006,10-14 Years,False,Millennial
Tararua District,1530,2006,10-14 Years,False,Millennial
Horowhenua District,2340,2006,10-14 Years,False,Millennial
Kapiti Coast District,3300,2006,10-14 Years,False,Millennial
Gore District,990,2006,10-14 Years,False,Millennial
Southland District,2350,2006,10-14 Years,False,Millennial
Clutha District,1410,2006,10-14 Years,False,Millennial
Dunedin City,7300,2006,10-14 Years,False,Millennial
Queenstown-Lakes District,1220,2006,10-14 Years,False,Millennial
Central Otago District,1120,2006,10-14 Years,False,Millennial
Waitaki District,1440,2006,10-14 Years,False,Millennial
Chatham Islands Territory,40,2006,10-14 Years,False,Millennial
Waimate District,590,2006,10-14 Years,False,Millennial
Mackenzie District,260,2006,10-14 Years,False,Millennial
Timaru District,3200,2006,10-14 Years,False,Millennial
Ashburton District,2060,2006,10-14 Years,False,Millennial
Selwyn District,2810,2006,10-14 Years,False,Millennial
Christchurch City,23130,2006,10-14 Years,False,Millennial
Manurewa Local Board Area,7350,2006,10-14 Years,False,Millennial
Waimakariri District,3560,2006,10-14 Years,False,Millennial
Westland District,630,2006,10-14 Years,False,Millennial
Grey District,1100,2006,10-14 Years,False,Millennial
Buller District,760,2006,10-14 Years,False,Millennial
Kaikoura District,260,2006,10-14 Years,False,Millennial
Marlborough District,2920,2006,10-14 Years,False,Millennial
Nelson City,3100,2006,10-14 Years,False,Millennial
Tasman District,3550,2006,10-14 Years,False,Millennial
South Wairarapa District,660,2006,10-14 Years,False,Millennial
Carterton District,510,2006,10-14 Years,False,Millennial
Masterton District,1840,2006,10-14 Years,False,Millennial
Wellington City,10750,2006,10-14 Years,False,Millennial
Lower Hutt City,7680,2006,10-14 Years,False,Millennial
Upper Hutt City,3140,2006,10-14 Years,False,Millennial
Porirua City,4280,2006,10-14 Years,False,Millennial
Hurunui District,830,2006,10-14 Years,False,Millennial
Otara-Papatoetoe Local Board Area,6890,2006,10-14 Years,False,Millennial
Palmerston North City,5540,2006,10-14 Years,False,Millennial
Howick Local Board Area,9330,2006,10-14 Years,False,Millennial
Selwyn District,2330,2001,10-14 Years,False,Millennial
Christchurch City,22050,2001,10-14 Years,False,Millennial
Waimakariri District,3020,2001,10-14 Years,False,Millennial
Hurunui District,860,2001,10-14 Years,False,Millennial
Westland District,580,2001,10-14 Years,False,Millennial
Grey District,1060,2001,10-14 Years,False,Millennial
Buller District,830,2001,10-14 Years,False,Millennial
Kaikoura District,260,2001,10-14 Years,False,Millennial
Marlborough District,3060,2001,10-14 Years,False,Millennial
Nelson City,3310,2001,10-14 Years,False,Millennial
Tasman District,3510,2001,10-14 Years,False,Millennial
South Wairarapa District,700,2001,10-14 Years,False,Millennial
Carterton District,610,2001,10-14 Years,False,Millennial
Masterton District,1950,2001,10-14 Years,False,Millennial
Ashburton District,1980,2001,10-14 Years,False,Millennial
Wellington City,10040,2001,10-14 Years,False,Millennial
Upper Hutt City,3020,2001,10-14 Years,False,Millennial
Porirua City,4490,2001,10-14 Years,False,Millennial
Kapiti Coast District,3360,2001,10-14 Years,False,Millennial
Horowhenua District,2470,2001,10-14 Years,False,Millennial
Tararua District,1650,2001,10-14 Years,False,Millennial
Palmerston North City,5590,2001,10-14 Years,False,Millennial
Manawatu District,2310,2001,10-14 Years,False,Millennial
Rangitikei District,1400,2001,10-14 Years,False,Millennial
Whanganui District,3780,2001,10-14 Years,False,Millennial
Ruapehu District,1370,2001,10-14 Years,False,Millennial
South Taranaki District,2520,2001,10-14 Years,False,Millennial
Stratford District,870,2001,10-14 Years,False,Millennial
New Plymouth District,5750,2001,10-14 Years,False,Millennial
Mangere-Otahuhu Local Board Area,6830,2006,10-14 Years,False,Millennial
Lower Hutt City,7980,2001,10-14 Years,False,Millennial
Timaru District,3280,2001,10-14 Years,False,Millennial
Central Hawke's Bay District,1210,2001,10-14 Years,False,Millennial
Maungakiekie-Tamaki Local Board Area,4600,2006,10-14 Years,False,Millennial
Orakei Local Board Area,4960,2006,10-14 Years,False,Millennial
